date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Total
2026-06-08,0,0,7,55,94,43,26,24,32,18,36,41,44,40,23,20,9,9,6,1,0,0,0,0,528
2026-06-09,0,0,4,41,71,47,24,21,39,27,38,51,35,21,9,13,12,6,7,2,1,0,0,0,469
2026-06-10,0,0,8,66,87,40,45,37,39,45,41,65,58,34,13,19,6,10,3,2,2,0,1,0,621
2026-06-11,0,2,5,62,87,74,54,50,56,49,50,44,32,31,26,16,12,8,9,0,0,0,0,1,668
2026-06-12,0,0,5,62,80,38,56,35,33,25,26,73,48,33,18,22,20,9,5,1,0,0,1,0,590
2026-06-13,0,0,9,56,79,39,43,24,24,24,38,70,44,28,20,16,4,3,4,0,0,0,0,0,525
2026-06-14,0,1,4,46,77,37,28,18,19,22,31,56,28,21,11,10,5,6,3,2,0,1,0,0,426
2026-06-15,0,0,5,42,74,61,25,25,18,10,11,44,50,30,28,8,4,5,1,2,1,0,0,0,444
2026-06-16,0,0,6,37,60,46,10,27,31,22,43,40,44,25,15,16,11,5,1,4,1,1,0,0,445
2026-06-17,0,2,8,57,72,62,55,35,39,44,50,53,57,34,14,12,7,4,3,0,1,0,0,0,609
2026-06-18,0,0,10,56,77,41,48,25,23,23,28,49,36,19,11,6,4,2,1,1,0,0,0,0,460
2026-06-19,0,1,6,48,80,32,23,19,18,5,22,51,36,21,15,12,3,2,1,2,0,0,0,0,397
2026-06-20,0,0,0,31,95,43,22,19,16,34,56,75,40,14,20,7,2,4,2,1,1,0,0,1,483
2026-06-21,0,0,6,45,82,16,18,5,14,11,24,50,25,10,4,11,6,1,2,2,2,1,0,0,335
