Arr_Operator,Arr_Aircraft_Type,Arr_Origin/Dest,Arr_Scheduled_Date,Arr_Flight_No,Arr_Flight_Type,Dep_Operator,Dep_Aircraft_Type,Dep_Origin/Dest,Dep_Scheduled_Date,Dep_Flight_No,Dep_Flight_Type,TurnID,seats,slf,DI_arr,DI_dep,ACcode,tow_pen,stand,leg,tow to/from
NPT,73K,EMA,2026-12-12 03:15:00,NPT5U,M,NPT,73K,EMA,2026-12-14 22:55:00,NPT4S,M,T0,0,0.0,DOM,DOM,C,1.0,208-FRT,,
NPT,73K,EMA,2026-12-12 06:15:00,NPT7224,H,NPT,73K,EMA,2026-12-14 23:50:00,NPT5D,M,T1,0,0.0,DOM,DOM,C,1.0,212-FRT,,
LM,AT7,SOU,2026-12-12 12:00:00,LM322,J,LM,AT7,EXT,2026-12-13 12:05:00,LM315,J,T2,72,0.49,DOM,DOM,C,1.0,23-T1,,
CJ,E90,LCY,2026-12-12 12:50:00,CJ8704,J,CJ,E90,LCY,2026-12-13 12:00:00,CJ8701,J,T3,106,0.74,DOM,DOM,C,0.5,2-T1,,
LM,AT7,KOI,2026-12-12 14:10:00,LM392,J,LM,AT7,SYY,2026-12-13 12:35:00,LM343,J,T4,72,0.49,DOM,DOM,C,1.0,24-T1,,
EC,32A,BOD,2026-12-13 08:20:00,EC1839,J,EC,32A,LIN,2026-12-13 15:00:00,EC5422,J,T5,186,0.83,INT,INT,C,1.0,11-T1,,
U2,32A,STN,2026-12-13 10:55:00,U2310,J,U2,32A,GVA,2026-12-13 12:00:00,U23295,J,T6,186,0.83,DOM,INT,C,1.0,6-T1,,
U2,32A,CDG,2026-12-13 11:20:00,U23242,J,U2,32A,BHX,2026-12-13 12:00:00,U2341,J,T7,186,0.83,INT,DOM,C,1.0,4-T1,,
FR,7M8,GDN,2026-12-13 11:25:00,FR6123,J,FR,7M8,DUB,2026-12-13 12:25:00,FR817,J,T8,197,0.87,INT,IRISH,C,1.0,1B-T1,,
SN,319,BRU,2026-12-13 11:30:00,SN2063,J,SN,319,BRU,2026-12-13 12:20:00,SN2064,J,T9,141,0.8,INT,INT,C,1.0,20-T1,,
FR,73H,POZ,2026-12-13 11:40:00,FR6619,J,FR,73H,PRG,2026-12-13 13:15:00,FR1054,J,T10,189,0.87,INT,INT,C,1.0,16B-T1,,
BA,32Q,LHR,2026-12-13 11:40:00,BA1446,J,BA,32Q,LHR,2026-12-13 12:40:00,BA1447,J,T11,220,0.79,DOM,DOM,C,0.5,16A-T1,,
EA,AT7,DUB,2026-12-13 11:40:00,EA3252,J,EA,AT7,DUB,2026-12-13 12:20:00,EA3253,J,T12,72,0.85,IRISH,IRISH,C,1.0,1-T1,,
EC,319,AMS,2026-12-13 11:50:00,EC7837,J,EC,319,AMS,2026-12-13 12:20:00,EC7838,J,T13,156,0.83,INT,INT,C,1.0,22-T1,,
EA,AT7,BHD,2026-12-13 11:50:00,EA3652,J,EA,AT7,BHD,2026-12-13 12:20:00,EA3653,J,T14,72,0.85,NIRISH,NIRISH,C,1.0,5-T1,,
LH,32N,FRA,2026-12-13 11:55:00,LH960,J,LH,32N,FRA,2026-12-13 12:40:00,LH961,J,T15,172,0.8,INT,INT,C,1.0,10-T1,,
FR,7M8,OPO,2026-12-13 11:55:00,FR5680,J,FR,7M8,BUD,2026-12-13 12:30:00,FR1017,J,T16,197,0.87,INT,INT,C,1.0,17-T1,,
U2,32N,GVA,2026-12-13 12:05:00,U23292,J,U2,32N,ATH,2026-12-13 13:00:00,U23237,J,T17,186,0.83,INT,INT,C,1.0,1A-T1,,
U2,32A,KRK,2026-12-13 12:15:00,U23314,J,U2,32N,BFS,2026-12-13 13:10:00,U2331,J,T18,186,0.83,INT,NIRISH,C,1.0,19-T1,,
KL,32Q,AMS,2026-12-13 12:30:00,KL927,J,KL,32Q,AMS,2026-12-13 13:25:00,KL928,J,T19,227,0.8,INT,INT,C,1.0,3-T1,,
U2,32N,INN,2026-12-13 12:30:00,U23308,J,U2,32A,MUC,2026-12-13 13:40:00,U23263,J,T20,186,0.83,INT,INT,C,1.0,14-T1,,
QR,789,DOH,2026-12-13 12:35:00,QR29,J,QR,789,DOH,2026-12-13 14:05:00,QR30,J,T21,311,0.88,INT,INT,E,1.0,15-T1,,
EA,AT7,DUB,2026-12-13 12:40:00,EA3254,J,EA,AT7,DUB,2026-12-13 13:10:00,EA3255,J,T22,72,0.85,IRISH,IRISH,C,1.0,1-T1,,
U2,32A,RVN,2026-12-13 12:45:00,U23312,J,U2,32A,PRG,2026-12-13 13:50:00,U23325,J,T23,186,0.83,INT,INT,C,1.0,22-T1,,
U2,32A,LTN,2026-12-13 12:55:00,U2304,J,U2,32Q,CDG,2026-12-13 14:20:00,U23245,J,T24,186,0.83,DOM,INT,C,1.0,24-T1,,
BA,320,LHR,2026-12-13 13:05:00,BA1450,J,BA,320,LHR,2026-12-13 14:35:00,BA1451,J,T25,180,0.79,DOM,DOM,C,0.5,10-T1,,
FR,73H,NRN,2026-12-13 13:10:00,FR5688,J,FR,73H,NRN,2026-12-13 13:35:00,FR5687,J,T26,189,0.87,INT,INT,C,1.0,20-T1,,
U2,32Q,KEF,2026-12-13 13:30:00,U23316,J,U2,32A,BFS,2026-12-13 14:35:00,U254,J,T27,235,0.83,INT,NIRISH,C,1.0,1-T1,,
FR,7M8,DUB,2026-12-13 13:30:00,FR812,J,FR,7M8,DUB,2026-12-13 13:55:00,FR813,J,T28,197,0.87,IRISH,IRISH,C,1.0,1A-T1,,
LS,73H,ALC,2026-12-13 13:35:00,LS776,J,LS,73H,TLL,2026-12-13 14:35:00,LS755,J,T29,189,0.82,INT,INT,C,0.8,4-T1,,
RK,73H,TIA,2026-12-13 13:35:00,RK8295,J,RK,73H,STN,2026-12-13 15:05:00,RK9816,J,T30,189,0.87,INT,DOM,C,1.0,16A-T1,,
FR,7M8,CPH,2026-12-13 13:40:00,FR2675,J,FR,7M8,TFS,2026-12-13 14:30:00,FR2969,J,T31,197,0.87,INT,INT,C,1.0,19-T1,,
FR,7M8,KUN,2026-12-13 13:40:00,FR2885,J,FR,7M8,ACE,2026-12-13 15:05:00,FR5593,J,T32,197,0.87,INT,INT,C,1.0,2-T1,,
LS,32Q,PRG,2026-12-13 13:45:00,LS3924,J,LS,32Q,VIE,2026-12-13 14:50:00,LS701,J,T33,232,0.82,INT,INT,C,0.8,3-T1,,
U2,32A,BFS,2026-12-13 14:05:00,U253,J,U2,32A,STN,2026-12-13 14:40:00,U2313,J,T34,186,0.83,NIRISH,DOM,C,1.0,1B-T1,,
RK,73H,STN,2026-12-13 14:15:00,RK8605,J,RK,73H,BOH,2026-12-13 15:25:00,RK1133,J,T35,189,0.87,DOM,DOM,C,1.0,23-T1,,
FR,7M8,BCN,2026-12-13 14:25:00,FR6267,J,FR,7M8,DUB,2026-12-13 15:50:00,FR819,J,T36,197,0.87,INT,IRISH,C,1.0,15B-T1,,
U2,319,LGW,2026-12-13 14:30:00,U2809,J,U2,319,LGW,2026-12-13 15:05:00,U2810,J,T38,156,0.83,DOM,DOM,C,1.0,6-T1,,
FR,73H,ALC,2026-12-13 14:30:00,FR5578,J,FR,73H,ALC,2026-12-13 14:55:00,FR5579,J,T39,189,0.87,INT,INT,C,1.0,17-T1,,
U2,32Q,LIS,2026-12-13 14:35:00,U23322,J,U2,32Q,BHX,2026-12-13 15:35:00,U2339,J,T40,235,0.83,INT,DOM,C,1.0,22-T1,,
U2,32A,BHX,2026-12-13 14:50:00,U2342,J,U2,32A,BHD,2026-12-13 15:35:00,U2343,J,T41,186,0.83,DOM,NIRISH,C,1.0,19-T1,,
FR,7M8,DUB,2026-12-13 15:00:00,FR816,J,FR,7M8,OTP,2026-12-13 16:40:00,FR5614,J,T42,197,0.87,IRISH,INT,C,1.0,1B-T1,,
DS,32A,BSL,2026-12-13 15:05:00,DS1231,J,DS,32A,BSL,2026-12-13 15:40:00,DS1232,J,T43,186,0.89,INT,INT,C,1.0,14-T1,,
TK,32Q,IST,2026-12-13 15:20:00,TK1345,J,TK,32Q,IST,2026-12-13 16:20:00,TK1346,J,T44,190,0.86,INT,INT,C,1.0,15A-T1,,
EC,32N,AMS,2026-12-13 15:20:00,EC7835,J,EC,32N,AMS,2026-12-13 15:50:00,EC7836,J,T45,186,0.83,INT,INT,C,1.0,20-T1,,
FR,7M8,RZE,2026-12-13 15:20:00,FR4536,J,FR,7M8,CIA,2026-12-13 16:50:00,FR5589,J,T46,197,0.87,INT,INT,C,1.0,17-T1,,
U2,32N,BFS,2026-12-13 15:25:00,U2332,J,U2,32N,MAD,2026-12-13 16:00:00,U23209,J,T47,186,0.83,NIRISH,INT,C,1.0,4-T1,,
U2,32A,LTN,2026-12-13 15:40:00,U2603,J,U2,32A,LTN,2026-12-13 16:20:00,U2604,J,T48,186,0.83,DOM,DOM,C,1.0,24-T1,,
FR,73H,CRL,2026-12-13 15:40:00,FR7323,J,FR,73H,BER,2026-12-13 16:30:00,FR2376,J,T49,189,0.87,INT,INT,C,1.0,10-T1,,
