Arr_Operator,Arr_Aircraft_Type,Arr_Origin/Dest,Arr_Scheduled_Date,Arr_Flight_No,Arr_Flight_Type,Dep_Operator,Dep_Aircraft_Type,Dep_Origin/Dest,Dep_Scheduled_Date,Dep_Flight_No,Dep_Flight_Type,TurnID,seats,slf,DI_arr,DI_dep,ACcode,tow_pen,stand,leg,tow to/from
NPT,73K,EMA,2026-06-20 03:15:00,NPT5U,M,NPT,73K,EMA,2026-06-22 23:00:00,NPT4S,M,T0,0,0.0,DOM,DOM,C,1.0,312-T1,,
NPT,73K,EMA,2026-06-20 06:15:00,NPT7224,H,NPT,73K,EMA,2026-06-22 23:50:00,NPT5D,M,T1,0,0.0,DOM,DOM,C,1.0,317A-T1,,
LM,AT7,SOU,2026-06-20 16:40:00,LM324,J,LM,AT7,EXT,2026-06-21 12:05:00,LM315,J,T2,72,0.73,DOM,DOM,C,1.0,7-T1,,
LM,AT7,KOI,2026-06-20 16:45:00,LM392,J,LM,AT7,SYY,2026-06-21 12:35:00,LM343,J,T3,72,0.73,DOM,DOM,C,1.0,5-T1,,
LM,AT7,GCI,2026-06-20 20:45:00,LM348,J,LM,AT7,SOU,2026-06-21 12:45:00,LM325,J,T4,72,0.73,INT,DOM,C,1.0,1-T1,,
B6,32Q,BOS,2026-06-21 10:00:00,B61079,J,B6,32Q,JFK,2026-06-21 12:10:00,B672,J,T5,156,0.83,INT,INT,C,1.0,16A-T1,,
UA,75W,IAD,2026-06-21 10:35:00,UA978,J,UA,75W,IAD,2026-06-21 12:30:00,UA979,J,T6,176,0.84,INT,INT,D,1.0,10-T1,,
FR,7M8,KRK,2026-06-21 10:55:00,FR6625,J,FR,7M8,PRG,2026-06-21 12:20:00,FR1054,J,T7,197,0.9,INT,INT,C,1.0,15B-T1,,
FR,73H,BCN,2026-06-21 10:55:00,FR6267,J,FR,73H,WRO,2026-06-21 13:50:00,FR1159,J,T8,189,0.9,INT,INT,C,1.0,6-T1,,
FR,7M8,BIQ,2026-06-21 11:30:00,FR6015,J,FR,7M8,CRL,2026-06-21 12:50:00,FR7352,J,T9,197,0.9,INT,INT,C,1.0,3-T1,,
EI,AT7,DUB,2026-06-21 11:40:00,EI3252,J,EI,AT7,DUB,2026-06-21 12:20:00,EI3253,J,T10,72,0.81,IRISH,IRISH,C,1.0,1B-T1,,
DL,76W,ATL,2026-06-21 11:50:00,DL34,J,DL,76W,JFK,2026-06-21 14:05:00,DL209,J,T11,216,0.85,INT,INT,D,1.0,2-T1,,
SN,319,BRU,2026-06-21 11:50:00,SN2063,J,SN,319,BRU,2026-06-21 12:40:00,SN2064,J,T12,141,0.84,INT,INT,C,1.0,4-T1,,
XQ,73H,AYT,2026-06-21 11:55:00,XQ598,J,XQ,73H,AYT,2026-06-21 12:45:00,XQ599,J,T13,189,0.8,INT,INT,C,1.0,17-T1,,
