weekday,hour,average_movements_per_driver_hour,median_movements_per_driver_hour,average_adjusted_movements_per_driver_hour,median_adjusted_movements_per_driver_hour
Monday,0.0,2.97,2.99,2.78,2.6
Monday,1.0,2.74,2.95,2.2,2.16
Monday,2.0,2.26,2.08,1.82,1.72
Monday,3.0,4.53,4.51,4.15,4.35
Monday,4.0,4.02,3.76,3.86,3.5
Monday,5.0,3.18,3.0,3.1,2.96
Monday,6.0,3.05,3.14,2.98,3.04
Monday,7.0,2.77,2.68,2.73,2.67
Monday,8.0,3.08,3.0,2.92,2.8
Monday,9.0,3.02,3.08,2.82,2.69
Monday,10.0,3.13,3.11,2.92,3.0
Monday,11.0,2.8,2.77,2.62,2.54
Monday,12.0,3.06,3.04,2.88,2.84
Monday,13.0,3.45,3.44,3.38,3.41
Monday,14.0,3.48,3.44,3.2,3.26
Monday,15.0,3.91,3.92,3.5,3.51
Monday,16.0,3.73,3.68,3.58,3.51
Monday,17.0,3.24,3.11,3.1,2.96
Monday,18.0,4.59,4.45,4.17,4.06
Monday,19.0,3.36,3.54,2.99,3.15
Monday,20.0,3.2,3.22,2.96,3.0
Monday,21.0,3.21,3.01,2.9,2.79
Monday,22.0,2.92,2.88,2.8,2.74
Monday,23.0,2.55,2.47,2.13,2.25
Tuesday,0.0,2.6,3.0,2.55,2.33
Tuesday,1.0,2.37,2.36,2.27,2.1
Tuesday,2.0,3.27,3.71,3.28,3.05
Tuesday,3.0,3.97,4.18,3.37,3.82
Tuesday,4.0,4.08,4.04,3.99,3.9
Tuesday,5.0,4.02,4.03,3.64,3.66
Tuesday,6.0,3.82,3.62,3.59,3.3
Tuesday,7.0,3.71,3.68,3.64,3.6
Tuesday,8.0,3.39,3.43,3.22,3.23
Tuesday,9.0,2.79,2.58,2.6,2.5
Tuesday,10.0,2.66,2.78,2.58,2.66
Tuesday,11.0,2.96,3.04,2.78,2.72
Tuesday,12.0,2.86,2.95,2.78,2.76
Tuesday,13.0,2.92,2.87,2.66,2.69
Tuesday,14.0,3.88,3.96,3.62,3.74
Tuesday,15.0,3.36,3.32,3.13,3.16
Tuesday,16.0,3.32,3.29,3.02,3.03
Tuesday,17.0,3.08,3.3,2.92,3.06
Tuesday,18.0,3.89,3.78,3.52,3.52
Tuesday,19.0,3.83,3.84,3.5,3.61
Tuesday,20.0,3.5,3.0,3.19,2.74
Tuesday,21.0,3.23,3.12,2.99,2.9
Tuesday,22.0,3.21,3.16,3.02,2.98
Tuesday,23.0,2.55,2.28,2.3,2.09
Wednesday,0.0,1.64,1.08,1.64,1.12
Wednesday,1.0,1.9,1.86,1.63,1.6
Wednesday,2.0,3.26,3.25,2.87,2.71
Wednesday,3.0,3.64,3.72,3.56,3.66
Wednesday,4.0,3.8,3.92,3.61,3.7
Wednesday,5.0,3.73,3.6,3.59,3.47
Wednesday,6.0,3.64,3.68,3.43,3.44
Wednesday,7.0,3.7,3.8,3.56,3.62
Wednesday,8.0,2.9,2.92,2.76,2.76
Wednesday,9.0,2.28,2.32,2.19,2.25
Wednesday,10.0,2.55,2.49,2.52,2.44
Wednesday,11.0,2.78,2.82,2.7,2.8
Wednesday,12.0,2.6,2.6,2.5,2.53
Wednesday,13.0,2.68,2.58,2.52,2.42
Wednesday,14.0,3.57,3.44,3.46,3.24
Wednesday,15.0,3.51,3.36,3.41,3.49
Wednesday,16.0,3.55,3.76,3.38,3.4
Wednesday,17.0,3.52,3.47,3.37,3.16
Wednesday,18.0,4.11,4.19,3.73,3.68
Wednesday,19.0,3.92,3.92,3.55,3.47
Wednesday,20.0,3.14,3.36,2.98,3.16
Wednesday,21.0,2.64,2.5,2.37,2.3
Wednesday,22.0,3.09,2.86,3.0,2.86
Wednesday,23.0,2.43,2.33,2.2,2.12
Thursday,0.0,1.48,1.0,1.33,1.0
Thursday,1.0,2.64,2.44,2.42,2.13
Thursday,2.0,4.68,3.5,2.91,2.94
Thursday,3.0,4.2,4.14,3.98,3.9
Thursday,4.0,4.48,4.45,4.26,4.32
Thursday,5.0,4.03,4.04,3.82,3.78
Thursday,6.0,3.4,3.48,3.31,3.44
Thursday,7.0,3.08,3.08,2.92,2.91
Thursday,8.0,3.11,3.14,2.94,2.92
Thursday,9.0,2.91,2.97,2.76,2.76
Thursday,10.0,2.65,2.48,2.47,2.38
Thursday,11.0,2.5,2.33,2.35,2.18
Thursday,12.0,3.47,3.32,3.32,3.15
Thursday,13.0,3.62,3.63,3.48,3.54
Thursday,14.0,3.74,3.97,3.48,3.57
Thursday,15.0,3.63,3.66,3.33,3.28
Thursday,16.0,3.28,3.17,3.11,2.88
Thursday,17.0,3.26,3.34,3.12,3.16
Thursday,18.0,3.36,3.36,3.3,3.33
Thursday,19.0,3.44,3.28,3.3,3.18
Thursday,20.0,3.22,3.06,3.1,3.0
Thursday,21.0,3.32,3.39,3.32,3.34
Thursday,22.0,3.74,3.68,3.31,3.26
Thursday,23.0,2.68,2.78,2.41,2.28
Friday,0.0,2.37,2.44,2.08,2.14
Friday,1.0,1.38,1.4,1.11,1.13
Friday,2.0,2.68,2.88,2.35,2.38
Friday,3.0,3.75,3.75,3.4,3.71
Friday,4.0,3.55,3.15,3.39,2.85
Friday,5.0,3.21,3.0,3.2,3.0
Friday,6.0,2.86,3.12,2.78,3.06
