weekday,hour,average_movements_per_driver_hour,median_movements_per_driver_hour,average_adjusted_movements_per_driver_hour,median_adjusted_movements_per_driver_hour,avg_driver_movements,median_driver_movements,avg_driver_adjusted_movements,median_driver_adjusted_movements
Monday,0.0,2.97,2.99,2.78,2.6,2.48,3.0,2.14,3.0
Monday,1.0,2.74,2.95,2.2,2.16,3.05,3.0,2.21,2.0
Monday,2.0,2.26,2.08,1.82,1.72,2.45,2.0,1.78,1.0
Monday,3.0,4.53,4.51,4.15,4.35,4.5,5.0,3.92,4.0
Monday,4.0,4.02,3.76,3.86,3.5,4.08,4.0,3.83,3.0
Monday,5.0,3.18,3.0,3.1,2.96,3.23,3.0,3.11,3.0
Monday,6.0,3.05,3.14,2.98,3.04,3.1,3.0,3.03,3.0
Monday,7.0,2.77,2.68,2.73,2.67,2.77,2.0,2.69,2.0
Monday,8.0,3.08,3.0,2.92,2.8,3.08,3.0,2.91,3.0
Monday,9.0,3.02,3.08,2.82,2.69,3.03,3.0,2.72,2.0
Monday,10.0,3.13,3.11,2.92,3.0,3.1,3.0,2.77,3.0
Monday,11.0,2.8,2.77,2.62,2.54,2.77,3.0,2.52,2.0
Monday,12.0,3.06,3.04,2.88,2.84,3.03,3.0,2.68,3.0
Monday,13.0,3.45,3.44,3.38,3.41,3.53,3.0,3.25,3.0
Monday,14.0,3.48,3.44,3.2,3.26,3.47,3.0,3.08,3.0
Monday,15.0,3.91,3.92,3.5,3.51,3.93,4.0,3.47,4.0
Monday,16.0,3.73,3.68,3.58,3.51,3.71,4.0,3.49,4.0
Monday,17.0,3.24,3.11,3.1,2.96,3.26,3.0,2.85,3.0
Monday,18.0,4.59,4.45,4.17,4.06,4.61,5.0,4.16,4.0
Monday,19.0,3.36,3.54,2.99,3.15,3.34,3.0,2.88,3.0
Monday,20.0,3.2,3.22,2.96,3.0,3.16,3.0,2.76,3.0
Monday,21.0,3.21,3.01,2.9,2.79,3.0,3.0,2.61,3.0
Monday,22.0,2.92,2.88,2.8,2.74,2.92,3.0,2.33,3.0
Monday,23.0,2.55,2.47,2.13,2.25,2.59,3.0,2.13,2.0
Tuesday,0.0,2.6,3.0,2.55,2.33,3.0,3.0,2.44,3.0
Tuesday,1.0,2.37,2.36,2.27,2.1,2.31,2.0,1.86,2.0
Tuesday,2.0,3.27,3.71,3.28,3.05,3.11,3.0,2.46,2.0
Tuesday,3.0,3.97,4.18,3.37,3.82,3.65,4.0,3.13,3.0
Tuesday,4.0,4.08,4.04,3.99,3.9,4.13,4.0,3.91,4.0
Tuesday,5.0,4.02,4.03,3.64,3.66,4.06,4.0,3.65,4.0
Tuesday,6.0,3.82,3.62,3.59,3.3,3.74,4.0,3.5,3.0
Tuesday,7.0,3.71,3.68,3.64,3.6,3.63,4.0,3.51,4.0
Tuesday,8.0,3.39,3.43,3.22,3.23,3.38,3.0,3.19,3.0
Tuesday,9.0,2.79,2.58,2.6,2.5,2.79,3.0,2.6,3.0
Tuesday,10.0,2.66,2.78,2.58,2.66,2.72,2.0,2.5,2.0
Tuesday,11.0,2.96,3.04,2.78,2.72,2.91,3.0,2.66,3.0
Tuesday,12.0,2.86,2.95,2.78,2.76,2.84,3.0,2.65,3.0
Tuesday,13.0,2.92,2.87,2.66,2.69,2.97,3.0,2.66,2.0
Tuesday,14.0,3.88,3.96,3.62,3.74,3.85,4.0,3.6,4.0
Tuesday,15.0,3.36,3.32,3.13,3.16,3.34,3.5,3.0,3.0
Tuesday,16.0,3.32,3.29,3.02,3.03,3.35,4.0,2.87,3.0
Tuesday,17.0,3.08,3.3,2.92,3.06,3.17,3.0,2.79,3.0
Tuesday,18.0,3.89,3.78,3.52,3.52,3.91,4.0,3.49,4.0
Tuesday,19.0,3.83,3.84,3.5,3.61,3.93,4.0,3.46,3.0
Tuesday,20.0,3.5,3.0,3.19,2.74,3.74,3.0,3.26,3.0
Tuesday,21.0,3.23,3.12,2.99,2.9,3.31,3.0,2.73,3.0
Tuesday,22.0,3.21,3.16,3.02,2.98,3.16,3.0,2.77,3.0
Tuesday,23.0,2.55,2.28,2.3,2.09,2.57,2.0,2.2,2.0
Wednesday,0.0,1.64,1.08,1.64,1.12,1.81,1.0,1.12,1.0
Wednesday,1.0,1.9,1.86,1.63,1.6,1.84,2.0,1.3,1.0
Wednesday,2.0,3.26,3.25,2.87,2.71,3.31,3.0,2.63,3.0
Wednesday,3.0,3.64,3.72,3.56,3.66,3.56,4.0,3.26,3.0
Wednesday,4.0,3.8,3.92,3.61,3.7,4.0,4.0,3.72,3.0
Wednesday,5.0,3.73,3.6,3.59,3.47,3.84,4.0,3.61,3.0
Wednesday,6.0,3.64,3.68,3.43,3.44,3.63,3.5,3.39,3.0
Wednesday,7.0,3.7,3.8,3.56,3.62,3.66,3.5,3.44,3.0
Wednesday,8.0,2.9,2.92,2.76,2.76,2.8,2.0,2.63,2.0
Wednesday,9.0,2.28,2.32,2.19,2.25,2.23,2.0,2.06,2.0
Wednesday,10.0,2.55,2.49,2.52,2.44,2.49,2.0,2.39,2.0
Wednesday,11.0,2.78,2.82,2.7,2.8,2.75,3.0,2.63,2.0
Wednesday,12.0,2.6,2.6,2.5,2.53,2.6,3.0,2.41,2.0
Wednesday,13.0,2.68,2.58,2.52,2.42,2.58,2.0,2.33,2.0
Wednesday,14.0,3.57,3.44,3.46,3.24,3.52,4.0,3.2,4.0
Wednesday,15.0,3.51,3.36,3.41,3.49,3.59,4.0,3.33,4.0
Wednesday,16.0,3.55,3.76,3.38,3.4,3.59,4.0,3.24,3.0
Wednesday,17.0,3.52,3.47,3.37,3.16,3.51,4.0,3.06,3.0
Wednesday,18.0,4.11,4.19,3.73,3.68,4.0,4.0,3.51,4.0
Wednesday,19.0,3.92,3.92,3.55,3.47,3.86,4.0,3.44,4.0
Wednesday,20.0,3.14,3.36,2.98,3.16,3.07,3.0,2.84,3.0
Wednesday,21.0,2.64,2.5,2.37,2.3,2.63,2.0,2.3,2.0
Wednesday,22.0,3.09,2.86,3.0,2.86,3.09,3.0,2.79,3.0
Wednesday,23.0,2.43,2.33,2.2,2.12,2.45,2.0,1.98,2.0
Thursday,0.0,1.48,1.0,1.33,1.0,2.0,2.0,1.4,1.5
Thursday,1.0,2.64,2.44,2.42,2.13,2.65,3.0,2.38,2.0
Thursday,2.0,4.68,3.5,2.91,2.94,3.33,3.0,2.58,3.0
Thursday,3.0,4.2,4.14,3.98,3.9,4.18,4.0,3.95,4.0
Thursday,4.0,4.48,4.45,4.26,4.32,4.47,5.0,4.19,4.0
Thursday,5.0,4.03,4.04,3.82,3.78,4.03,4.0,3.75,4.0
Thursday,6.0,3.4,3.48,3.31,3.44,3.52,3.0,3.28,3.0
Thursday,7.0,3.08,3.08,2.92,2.91,3.2,3.0,3.0,3.0
Thursday,8.0,3.11,3.14,2.94,2.92,3.15,3.0,2.89,3.0
Thursday,9.0,2.91,2.97,2.76,2.76,2.9,3.0,2.63,3.0
Thursday,10.0,2.65,2.48,2.47,2.38,2.61,2.0,2.28,2.0
Thursday,11.0,2.5,2.33,2.35,2.18,2.55,2.0,2.29,2.0
Thursday,12.0,3.47,3.32,3.32,3.15,3.52,4.0,3.34,3.0
Thursday,13.0,3.62,3.63,3.48,3.54,3.61,4.0,3.38,4.0
Thursday,14.0,3.74,3.97,3.48,3.57,3.85,4.0,3.58,4.0
Thursday,15.0,3.63,3.66,3.33,3.28,3.61,4.0,3.28,3.0
Thursday,16.0,3.28,3.17,3.11,2.88,3.28,3.0,2.98,3.0
Thursday,17.0,3.26,3.34,3.12,3.16,3.17,3.0,2.98,3.0
Thursday,18.0,3.36,3.36,3.3,3.33,3.43,3.0,3.24,3.0
Thursday,19.0,3.44,3.28,3.3,3.18,3.6,3.0,3.44,3.0
Thursday,20.0,3.22,3.06,3.1,3.0,3.43,3.0,3.2,3.0
Thursday,21.0,3.32,3.39,3.32,3.34,3.46,3.0,3.29,3.0
Thursday,22.0,3.74,3.68,3.31,3.26,3.5,3.0,3.11,3.0
Thursday,23.0,2.68,2.78,2.41,2.28,2.52,2.0,2.0,2.0
Friday,0.0,2.37,2.44,2.08,2.14,2.67,2.0,2.19,2.0
Friday,1.0,1.38,1.4,1.11,1.13,1.44,1.0,0.89,1.0
Friday,2.0,2.68,2.88,2.35,2.38,2.74,3.0,2.39,3.0
Friday,3.0,3.75,3.75,3.4,3.71,3.48,4.0,3.09,3.0
Friday,4.0,3.55,3.15,3.39,2.85,3.29,3.0,3.13,3.0
Friday,5.0,3.21,3.0,3.2,3.0,2.94,3.0,2.88,3.0
Friday,6.0,2.86,3.12,2.78,3.06,2.76,3.0,2.65,3.0
Friday,7.0,2.75,2.67,2.71,2.64,2.71,2.0,2.57,2.0
Friday,8.0,2.7,2.77,2.65,2.77,2.6,2.0,2.53,2.0
Friday,9.0,2.84,2.64,2.67,2.5,2.8,3.0,2.58,2.0
Friday,10.0,2.97,3.2,2.69,2.89,3.02,3.0,2.67,3.0
Friday,11.0,3.17,3.25,3.04,3.17,3.11,3.0,2.94,3.0
Friday,12.0,3.18,2.71,3.13,2.65,3.07,3.0,2.93,3.0
Friday,13.0,3.2,2.96,3.09,2.91,3.15,3.0,2.95,3.0
Friday,14.0,3.86,3.87,3.62,3.61,3.89,4.0,3.56,4.0
Friday,15.0,3.41,3.56,3.2,3.46,3.43,4.0,3.12,3.5
Friday,16.0,3.91,4.05,3.58,3.67,3.92,4.0,3.53,4.0
Friday,17.0,2.94,3.08,2.89,2.91,2.96,2.0,2.72,2.0
Friday,18.0,3.19,3.54,2.96,2.92,3.3,3.0,2.91,3.0
Friday,19.0,3.69,3.92,3.4,3.64,3.76,4.0,3.36,3.0
Friday,20.0,3.55,3.43,3.29,3.4,3.5,4.0,3.11,3.0
Friday,21.0,2.9,3.07,2.64,2.75,2.94,3.0,2.53,3.0
Friday,22.0,3.3,3.36,2.96,3.18,3.34,3.0,3.03,3.0
Friday,23.0,1.95,2.07,1.82,1.93,2.08,2.0,1.83,2.0
Saturday,0.0,1.79,1.93,1.59,1.79,1.91,1.0,1.62,1.0
Saturday,1.0,2.94,2.62,2.72,2.38,3.22,3.0,2.87,2.0
Saturday,2.0,3.47,3.18,3.1,2.8,3.46,3.0,3.0,3.0
Saturday,3.0,2.67,2.33,2.39,2.08,2.64,3.0,2.31,2.0
Saturday,4.0,3.64,3.67,3.42,3.42,3.65,3.0,3.38,3.0
Saturday,5.0,3.51,3.5,3.24,3.32,3.52,3.0,3.2,3.0
Saturday,6.0,3.19,3.16,3.01,3.03,3.19,3.0,2.97,3.0
Saturday,7.0,3.19,3.19,3.03,3.06,3.19,3.0,3.0,3.0
Saturday,8.0,2.68,2.73,2.54,2.55,2.69,3.0,2.55,2.0
Saturday,9.0,2.53,2.57,2.45,2.43,2.55,2.0,2.43,2.0
Saturday,10.0,3.25,2.91,2.97,2.82,3.19,3.0,2.7,3.0
Saturday,11.0,2.43,2.6,2.33,2.56,2.47,2.0,2.17,2.0
Saturday,12.0,2.85,2.56,2.75,2.53,2.9,3.0,2.6,3.0
Saturday,13.0,3.42,3.53,3.15,3.14,3.46,4.0,3.07,3.0
Saturday,14.0,3.39,3.47,3.1,3.08,3.35,3.0,2.91,3.0
Saturday,15.0,3.5,3.47,3.06,3.0,3.56,4.0,2.96,3.0
Saturday,16.0,3.17,3.44,2.72,2.93,3.18,3.0,2.56,3.0
Saturday,17.0,2.76,2.88,2.56,2.53,2.78,3.0,2.35,2.0
Saturday,18.0,3.58,3.39,3.23,3.0,3.57,4.0,3.0,3.0
Saturday,19.0,3.38,3.47,3.29,3.33,3.36,3.0,2.98,3.0
Saturday,20.0,3.24,3.21,3.01,3.0,3.22,3.0,2.78,3.0
Saturday,21.0,2.79,2.47,2.55,2.4,2.72,3.0,2.28,2.0
Saturday,22.0,2.98,3.09,2.67,2.85,2.97,3.0,2.46,3.0
Saturday,23.0,2.23,1.79,1.76,1.5,2.07,2.0,1.54,1.0
Sunday,0.0,2.58,2.55,2.06,2.12,2.64,2.5,1.98,2.0
Sunday,1.0,2.73,2.85,2.48,2.78,2.72,3.0,2.33,2.0
Sunday,2.0,3.66,3.62,3.2,3.19,3.7,4.0,3.14,3.0
Sunday,3.0,3.37,3.32,3.19,3.06,3.41,4.0,3.15,3.0
Sunday,4.0,4.3,4.26,4.01,4.0,4.23,4.0,3.77,4.0
