timestamp,Amb_req,Mini_req,Drivers_req,VehAgents_req,Amb_gap,Mini_gap
2025-05-27 00:00:00,2,0,2,2,0,0
2025-05-27 01:00:00,6,0,6,6,0,0
2025-05-27 02:00:00,3,0,3,3,0,0
2025-05-27 03:00:00,2,0,2,2,0,0
2025-05-27 04:00:00,5,0,5,5,0,0
2025-05-27 05:00:00,5,0,5,5,0,0
2025-05-27 06:00:00,3,0,3,3,0,0
2025-05-27 07:00:00,4,0,4,4,0,0
2025-05-27 08:00:00,4,0,4,4,0,0
2025-05-27 09:00:00,3,0,3,3,0,0
2025-05-27 10:00:00,5,0,5,5,0,0
2025-05-27 11:00:00,3,2,4,4,0,0
2025-05-27 12:00:00,7,2,9,9,0,0
2025-05-27 13:00:00,11,1,12,12,0,0
2025-05-27 14:00:00,16,2,16,16,2,0
2025-05-27 15:00:00,9,1,9,9,0,0
2025-05-27 16:00:00,9,2,9,9,0,0
2025-05-27 17:00:00,9,2,9,9,0,0
2025-05-27 18:00:00,4,1,5,5,0,0
2025-05-27 19:00:00,3,0,3,3,0,0
2025-05-27 20:00:00,3,0,3,3,0,0
2025-05-27 21:00:00,3,0,3,3,0,0
2025-05-27 22:00:00,3,0,3,3,0,0
2025-05-27 23:00:00,4,0,4,4,0,0
