Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-07-24,31198.0,30788.0,61986.0,62k,B,24-Jul
2026-07-25,27562.0,29067.0,56629.0,57k,B,25-Jul
2026-07-26,31654.0,30716.0,62370.0,62k,B,26-Jul
2026-07-27,31138.0,30633.0,61771.0,62k,B,27-Jul
2026-07-28,29170.0,27579.0,56749.0,57k,B,28-Jul
2026-07-29,28545.0,27983.0,56528.0,57k,B,29-Jul
2026-07-30,31814.0,29430.0,61244.0,61k,B,30-Jul
2026-07-31,31441.0,29975.0,61416.0,61k,B,31-Jul
2026-08-01,28155.0,28213.0,56368.0,56k,B,01-Aug
2026-08-02,32639.0,30728.0,63367.0,63k,A,02-Aug
2026-08-03,31150.0,30972.0,62122.0,62k,B,03-Aug
2026-08-04,29973.0,27230.0,57203.0,57k,B,04-Aug
2026-08-05,28937.0,27322.0,56259.0,56k,B,05-Aug
2026-08-06,32092.0,28870.0,60962.0,61k,B,06-Aug
