Forecast DateTime,Pax,Staff,Total,Date,Hour,Rolling Hour Pax,Rolling Hour Staff,Rolling Hour Total
2026-07-24 03:00:00,0,0,0,2026-07-24,3,0.0,0.0,0.0
2026-07-24 03:15:00,0,0,0,2026-07-24,3,0.0,0.0,0.0
2026-07-24 03:30:00,0,0,0,2026-07-24,3,0.0,0.0,0.0
2026-07-24 03:45:00,0,0,0,2026-07-24,3,0.0,0.0,0.0
2026-07-24 04:00:00,0,0,0,2026-07-24,4,0.0,0.0,0.0
2026-07-24 04:15:00,0,0,0,2026-07-24,4,0.0,0.0,0.0
2026-07-24 04:30:00,0,0,0,2026-07-24,4,0.0,0.0,0.0
2026-07-24 04:45:00,0,0,0,2026-07-24,4,0.0,0.0,0.0
2026-07-24 05:00:00,0,0,0,2026-07-24,5,0.0,0.0,0.0
2026-07-24 05:15:00,0,0,0,2026-07-24,5,0.0,0.0,0.0
2026-07-24 05:30:00,0,0,0,2026-07-24,5,0.0,0.0,0.0
2026-07-24 05:45:00,0,0,0,2026-07-24,5,0.0,0.0,0.0
2026-07-24 06:00:00,0,0,0,2026-07-24,6,0.0,0.0,0.0
2026-07-24 06:15:00,0,0,0,2026-07-24,6,0.0,0.0,0.0
2026-07-24 06:30:00,0,0,0,2026-07-24,6,0.0,0.0,0.0
2026-07-24 06:45:00,0,0,0,2026-07-24,6,0.0,0.0,0.0
2026-07-24 07:00:00,0,0,0,2026-07-24,7,0.0,0.0,0.0
2026-07-24 07:15:00,0,0,0,2026-07-24,7,0.0,0.0,0.0
2026-07-24 07:30:00,0,0,0,2026-07-24,7,0.0,0.0,0.0
2026-07-24 07:45:00,0,0,0,2026-07-24,7,0.0,0.0,0.0
2026-07-24 08:00:00,0,0,0,2026-07-24,8,0.0,0.0,0.0
2026-07-24 08:15:00,0,0,0,2026-07-24,8,0.0,0.0,0.0
2026-07-24 08:30:00,0,0,0,2026-07-24,8,0.0,0.0,0.0
2026-07-24 08:45:00,0,0,0,2026-07-24,8,0.0,0.0,0.0
2026-07-24 09:00:00,0,0,0,2026-07-24,9,0.0,0.0,0.0
2026-07-24 09:15:00,0,0,0,2026-07-24,9,0.0,0.0,0.0
2026-07-24 09:30:00,0,0,0,2026-07-24,9,0.0,0.0,0.0
2026-07-24 09:45:00,0,0,0,2026-07-24,9,0.0,0.0,0.0
2026-07-24 10:00:00,0,0,0,2026-07-24,10,0.0,0.0,0.0
2026-07-24 10:15:00,0,0,0,2026-07-24,10,0.0,0.0,0.0
2026-07-24 10:30:00,0,0,0,2026-07-24,10,0.0,0.0,0.0
2026-07-24 10:45:00,0,0,0,2026-07-24,10,0.0,0.0,0.0
2026-07-24 11:00:00,0,0,0,2026-07-24,11,0.0,0.0,0.0
2026-07-24 11:15:00,3,0,3,2026-07-24,11,3.0,0.0,3.0
2026-07-24 11:30:00,1,0,1,2026-07-24,11,4.0,0.0,4.0
2026-07-24 11:45:00,2,0,2,2026-07-24,11,6.0,0.0,6.0
2026-07-24 12:00:00,1,0,1,2026-07-24,12,7.0,0.0,7.0
2026-07-24 12:15:00,2,0,2,2026-07-24,12,6.0,0.0,6.0
2026-07-24 12:30:00,1,0,1,2026-07-24,12,6.0,0.0,6.0
2026-07-24 12:45:00,2,0,2,2026-07-24,12,6.0,0.0,6.0
2026-07-24 13:00:00,2,0,2,2026-07-24,13,7.0,0.0,7.0
2026-07-24 13:15:00,5,0,5,2026-07-24,13,10.0,0.0,10.0
2026-07-24 13:30:00,3,0,3,2026-07-24,13,12.0,0.0,12.0
2026-07-24 13:45:00,10,0,10,2026-07-24,13,20.0,0.0,20.0
2026-07-24 14:00:00,14,0,14,2026-07-24,14,32.0,0.0,32.0
2026-07-24 14:15:00,12,0,12,2026-07-24,14,39.0,0.0,39.0
2026-07-24 14:30:00,14,0,14,2026-07-24,14,50.0,0.0,50.0
2026-07-24 14:45:00,14,0,14,2026-07-24,14,54.0,0.0,54.0
2026-07-24 15:00:00,20,0,20,2026-07-24,15,60.0,0.0,60.0
2026-07-24 15:15:00,33,0,33,2026-07-24,15,81.0,0.0,81.0
2026-07-24 15:30:00,18,0,18,2026-07-24,15,85.0,0.0,85.0
2026-07-24 15:45:00,17,0,17,2026-07-24,15,88.0,0.0,88.0
2026-07-24 16:00:00,12,0,12,2026-07-24,16,80.0,0.0,80.0
2026-07-24 16:15:00,9,0,9,2026-07-24,16,56.0,0.0,56.0
2026-07-24 16:30:00,0,0,0,2026-07-24,16,38.0,0.0,38.0
2026-07-24 16:45:00,0,0,0,2026-07-24,16,21.0,0.0,21.0
2026-07-24 17:00:00,0,0,0,2026-07-24,17,9.0,0.0,9.0
2026-07-24 17:15:00,0,0,0,2026-07-24,17,0.0,0.0,0.0
2026-07-24 17:30:00,0,0,0,2026-07-24,17,0.0,0.0,0.0
2026-07-24 17:45:00,0,0,0,2026-07-24,17,0.0,0.0,0.0
2026-07-24 18:00:00,0,0,0,2026-07-24,18,0.0,0.0,0.0
2026-07-24 18:15:00,0,0,0,2026-07-24,18,0.0,0.0,0.0
2026-07-24 18:30:00,0,0,0,2026-07-24,18,0.0,0.0,0.0
2026-07-24 18:45:00,0,0,0,2026-07-24,18,0.0,0.0,0.0
2026-07-24 19:00:00,0,0,0,2026-07-24,19,0.0,0.0,0.0
2026-07-24 19:15:00,0,0,0,2026-07-24,19,0.0,0.0,0.0
2026-07-24 19:30:00,0,0,0,2026-07-24,19,0.0,0.0,0.0
2026-07-24 19:45:00,0,0,0,2026-07-24,19,0.0,0.0,0.0
2026-07-24 20:00:00,0,0,0,2026-07-24,20,0.0,0.0,0.0
2026-07-24 20:15:00,0,0,0,2026-07-24,20,0.0,0.0,0.0
2026-07-24 20:30:00,0,0,0,2026-07-24,20,0.0,0.0,0.0
2026-07-24 20:45:00,0,0,0,2026-07-24,20,0.0,0.0,0.0
2026-07-24 21:00:00,0,0,0,2026-07-24,21,0.0,0.0,0.0
2026-07-24 21:15:00,0,0,0,2026-07-24,21,0.0,0.0,0.0
2026-07-24 21:30:00,0,0,0,2026-07-24,21,0.0,0.0,0.0
2026-07-24 21:45:00,0,0,0,2026-07-24,21,0.0,0.0,0.0
2026-07-24 22:00:00,0,0,0,2026-07-24,22,0.0,0.0,0.0
2026-07-24 22:15:00,0,0,0,2026-07-24,22,0.0,0.0,0.0
2026-07-24 22:30:00,0,0,0,2026-07-24,22,0.0,0.0,0.0
2026-07-24 22:45:00,0,0,0,2026-07-24,22,0.0,0.0,0.0
2026-07-24 23:00:00,0,0,0,2026-07-24,23,0.0,0.0,0.0
2026-07-24 23:15:00,0,0,0,2026-07-24,23,0.0,0.0,0.0
2026-07-24 23:30:00,0,0,0,2026-07-24,23,0.0,0.0,0.0
2026-07-24 23:45:00,0,0,0,2026-07-24,23,0.0,0.0,0.0
2026-07-25 03:00:00,0,0,0,2026-07-25,3,0.0,0.0,0.0
