Date,Start,End,Duration_Minutes,Max_DownHall
2026-05-22,2026-05-22 19:15:00,2026-05-22 19:30:00,15,1.0
2026-05-31,2026-05-31 02:00:00,2026-05-31 02:45:00,45,174.0
2026-06-07,2026-06-07 01:30:00,2026-06-07 01:45:00,15,13.0
2026-06-21,2026-06-21 01:30:00,2026-06-21 01:45:00,15,38.0
2026-06-28,2026-06-28 01:30:00,2026-06-28 01:45:00,15,14.0
2026-06-28,2026-06-28 02:30:00,2026-06-28 02:45:00,15,8.0
2026-07-03,2026-07-03 19:15:00,2026-07-03 19:45:00,30,261.0
2026-07-05,2026-07-05 01:30:00,2026-07-05 01:45:00,15,78.0
2026-07-05,2026-07-05 02:30:00,2026-07-05 02:45:00,15,61.0
2026-07-05,2026-07-05 16:45:00,2026-07-05 17:15:00,30,104.0
2026-07-05,2026-07-05 17:30:00,2026-07-05 17:45:00,15,216.0
2026-07-10,2026-07-10 19:00:00,2026-07-10 19:45:00,45,291.0
2026-07-12,2026-07-12 01:30:00,2026-07-12 01:45:00,15,71.0
2026-07-12,2026-07-12 02:15:00,2026-07-12 02:45:00,30,120.0
2026-07-12,2026-07-12 16:45:00,2026-07-12 17:15:00,30,122.0
2026-07-17,2026-07-17 19:00:00,2026-07-17 19:45:00,45,288.0
2026-07-24,2026-07-24 18:45:00,2026-07-24 19:45:00,60,305.0
2026-07-31,2026-07-31 18:45:00,2026-07-31 19:45:00,60,325.0
2026-08-07,2026-08-07 18:45:00,2026-08-07 20:00:00,75,343.0
2026-08-09,2026-08-09 01:00:00,2026-08-09 01:15:00,15,15.0
2026-08-09,2026-08-09 17:30:00,2026-08-09 17:45:00,15,50.0
2026-08-14,2026-08-14 19:00:00,2026-08-14 20:00:00,60,411.0
2026-08-28,2026-08-28 19:00:00,2026-08-28 19:45:00,45,300.0
2026-09-20,2026-09-20 02:15:00,2026-09-20 02:45:00,30,45.0
2026-10-09,2026-10-09 19:15:00,2026-10-09 19:30:00,15,17.0
2026-10-11,2026-10-11 02:15:00,2026-10-11 02:45:00,30,66.0
2026-10-16,2026-10-16 19:15:00,2026-10-16 19:30:00,15,143.0
2026-10-18,2026-10-18 02:00:00,2026-10-18 02:45:00,45,210.0
2026-10-22,2026-10-22 19:15:00,2026-10-22 19:30:00,15,237.0
2026-10-22,2026-10-22 20:15:00,2026-10-22 20:30:00,15,62.0
2026-10-23,2026-10-23 19:15:00,2026-10-23 19:30:00,15,6.0
