Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-05-13,22465.0,23329.0,45794.0,46k,C,13-May
2026-05-14,27794.0,25922.0,53716.0,54k,B,14-May
2026-05-15,29210.0,26740.0,55950.0,56k,B,15-May
2026-05-16,23221.0,23959.0,47180.0,47k,C,16-May
2026-05-17,30356.0,28803.0,59159.0,59k,B,17-May
2026-05-18,26808.0,28474.0,55282.0,55k,B,18-May
2026-05-19,22838.0,23612.0,46450.0,46k,C,19-May
2026-05-20,24107.0,24661.0,48768.0,49k,C,20-May
2026-05-21,28998.0,27132.0,56130.0,56k,B,21-May
2026-05-22,30420.0,28311.0,58731.0,59k,B,22-May
2026-05-23,24817.0,25715.0,50532.0,51k,C,23-May
2026-05-24,30440.0,28517.0,58957.0,59k,B,24-May
2026-05-25,27830.0,29261.0,57091.0,57k,B,25-May
2026-05-26,24118.0,24178.0,48296.0,48k,C,26-May
2026-05-27,24792.0,25000.0,49792.0,50k,C,27-May
2026-05-28,29351.0,26843.0,56194.0,56k,B,28-May
2026-05-29,29559.0,28671.0,58230.0,58k,B,29-May
2026-05-30,24633.0,26019.0,50652.0,51k,C,30-May
2026-05-31,30549.0,29537.0,60086.0,60k,B,31-May
2026-06-01,26834.0,30024.0,56858.0,57k,B,01-Jun
2026-06-02,23310.0,24853.0,48163.0,48k,C,02-Jun
2026-06-03,24687.0,25244.0,49931.0,50k,C,03-Jun
2026-06-04,28948.0,27209.0,56157.0,56k,B,04-Jun
2026-06-05,30167.0,27971.0,58138.0,58k,B,05-Jun
2026-06-06,25210.0,26197.0,51407.0,51k,C,06-Jun
2026-06-07,29962.0,28157.0,58119.0,58k,B,07-Jun
2026-06-08,26908.0,29942.0,56850.0,57k,B,08-Jun
2026-06-09,24297.0,25532.0,49829.0,50k,C,09-Jun
2026-06-10,25097.0,26416.0,51513.0,52k,C,10-Jun
2026-06-11,29181.0,28686.0,57867.0,58k,B,11-Jun
2026-06-12,30936.0,28927.0,59863.0,60k,B,12-Jun
2026-06-13,25532.0,25812.0,51344.0,51k,C,13-Jun
2026-06-14,30324.0,29232.0,59556.0,60k,B,14-Jun
2026-06-15,28020.0,29643.0,57663.0,58k,B,15-Jun
2026-06-16,25088.0,24698.0,49786.0,50k,C,16-Jun
2026-06-17,26488.0,25815.0,52303.0,52k,C,17-Jun
2026-06-18,30593.0,28788.0,59381.0,59k,B,18-Jun
2026-06-19,31742.0,29778.0,61520.0,62k,B,19-Jun
2026-06-20,25839.0,26457.0,52296.0,52k,C,20-Jun
2026-06-21,30889.0,30483.0,61372.0,61k,B,21-Jun
2026-06-22,28799.0,30266.0,59065.0,59k,B,22-Jun
2026-06-23,25358.0,26310.0,51668.0,52k,C,23-Jun
