Date,Start,End,Duration_Minutes,Max_DownHall
2026-08-23,2026-08-23 01:00:00,2026-08-23 01:15:00,15,17.0
2026-08-28,2026-08-28 19:00:00,2026-08-28 19:45:00,45,199.0
2026-08-30,2026-08-30 01:00:00,2026-08-30 01:15:00,15,31.0
2026-09-20,2026-09-20 02:15:00,2026-09-20 02:45:00,30,117.0
2026-09-27,2026-09-27 02:00:00,2026-09-27 02:45:00,45,93.0
2026-10-04,2026-10-04 02:15:00,2026-10-04 02:45:00,30,42.0
2026-10-11,2026-10-11 02:00:00,2026-10-11 02:45:00,45,117.0
2026-10-15,2026-10-15 19:15:00,2026-10-15 19:30:00,15,31.0
2026-10-16,2026-10-16 19:15:00,2026-10-16 19:30:00,15,81.0
2026-10-18,2026-10-18 01:00:00,2026-10-18 01:15:00,15,6.0
2026-10-18,2026-10-18 02:00:00,2026-10-18 02:45:00,45,226.0
2026-10-22,2026-10-22 19:15:00,2026-10-22 19:30:00,15,281.0
2026-10-22,2026-10-22 19:45:00,2026-10-22 20:45:00,60,169.0
