Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-08-18,27794.0,27990.0,55784.0,56k,B,18-Aug
2026-08-19,26966.0,27994.0,54960.0,55k,B,19-Aug
2026-08-20,30954.0,30808.0,61762.0,62k,B,20-Aug
2026-08-21,30717.0,32366.0,63083.0,63k,A,21-Aug
2026-08-22,26323.0,28528.0,54851.0,55k,B,22-Aug
2026-08-23,30535.0,31179.0,61714.0,62k,B,23-Aug
2026-08-24,29143.0,31514.0,60657.0,61k,B,24-Aug
2026-08-25,25240.0,28013.0,53253.0,53k,B,25-Aug
2026-08-26,24960.0,27997.0,52957.0,53k,C,26-Aug
2026-08-27,28882.0,29924.0,58806.0,59k,B,27-Aug
2026-08-28,30838.0,30616.0,61454.0,61k,B,28-Aug
2026-08-29,26741.0,27787.0,54528.0,55k,B,29-Aug
2026-08-30,31271.0,30547.0,61818.0,62k,B,30-Aug
2026-08-31,29465.0,31321.0,60786.0,61k,B,31-Aug
