Date,Start,End,Duration_Minutes,Max_DownHall
2026-07-24,2026-07-24 18:45:00,2026-07-24 19:45:00,60,259.0
2026-07-26,2026-07-26 01:00:00,2026-07-26 01:15:00,15,28.0
2026-07-31,2026-07-31 18:45:00,2026-07-31 19:45:00,60,289.0
2026-08-02,2026-08-02 01:00:00,2026-08-02 01:15:00,15,16.0
2026-08-07,2026-08-07 18:45:00,2026-08-07 19:45:00,60,281.0
2026-08-09,2026-08-09 01:00:00,2026-08-09 01:15:00,15,60.0
2026-08-09,2026-08-09 17:30:00,2026-08-09 17:45:00,15,51.0
2026-08-14,2026-08-14 19:00:00,2026-08-14 20:00:00,60,337.0
2026-08-28,2026-08-28 19:00:00,2026-08-28 19:45:00,45,252.0
2026-08-30,2026-08-30 01:00:00,2026-08-30 01:15:00,15,19.0
2026-09-20,2026-09-20 02:30:00,2026-09-20 02:45:00,15,28.0
2026-09-27,2026-09-27 02:30:00,2026-09-27 02:45:00,15,16.0
2026-10-11,2026-10-11 02:00:00,2026-10-11 02:45:00,45,68.0
2026-10-15,2026-10-15 19:15:00,2026-10-15 19:30:00,15,61.0
2026-10-16,2026-10-16 19:15:00,2026-10-16 19:30:00,15,122.0
2026-10-18,2026-10-18 02:00:00,2026-10-18 02:45:00,45,196.0
2026-10-22,2026-10-22 19:15:00,2026-10-22 19:30:00,15,309.0
2026-10-22,2026-10-22 19:45:00,2026-10-22 20:45:00,60,202.0
