Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-06-26,31146.0,32838.0,63984.0,64k,A,26-Jun
2026-06-27,26541.0,28850.0,55391.0,55k,B,27-Jun
2026-06-28,32362.0,32564.0,64926.0,65k,A,28-Jun
2026-06-29,29898.0,31122.0,61020.0,61k,B,29-Jun
2026-06-30,27812.0,27753.0,55565.0,56k,B,30-Jun
2026-07-01,25262.0,28552.0,53814.0,54k,B,01-Jul
2026-07-02,30357.0,32232.0,62589.0,63k,B,02-Jul
2026-07-03,31211.0,32093.0,63304.0,63k,A,03-Jul
2026-07-04,28185.0,29684.0,57869.0,58k,B,04-Jul
2026-07-05,32387.0,31658.0,64045.0,64k,A,05-Jul
2026-07-06,31199.0,31553.0,62752.0,63k,B,06-Jul
2026-07-07,29031.0,27841.0,56872.0,57k,B,07-Jul
2026-07-08,26694.0,28922.0,55616.0,56k,B,08-Jul
2026-07-09,30671.0,32048.0,62719.0,63k,B,09-Jul
2026-07-10,31181.0,32553.0,63734.0,64k,A,10-Jul
2026-07-11,27988.0,29245.0,57233.0,57k,B,11-Jul
2026-07-12,32438.0,31708.0,64146.0,64k,A,12-Jul
2026-07-13,30803.0,31391.0,62194.0,62k,B,13-Jul
2026-07-14,28509.0,28095.0,56604.0,57k,B,14-Jul
2026-07-15,26503.0,28510.0,55013.0,55k,B,15-Jul
2026-07-16,30566.0,30482.0,61048.0,61k,B,16-Jul
2026-07-17,31386.0,31598.0,62984.0,63k,B,17-Jul
2026-07-18,27969.0,28344.0,56313.0,56k,B,18-Jul
2026-07-19,32246.0,31375.0,63621.0,64k,A,19-Jul
2026-07-20,31110.0,30889.0,61999.0,62k,B,20-Jul
2026-07-21,28385.0,27011.0,55396.0,55k,B,21-Jul
2026-07-22,26436.0,27796.0,54232.0,54k,B,22-Jul
2026-07-23,29887.0,30175.0,60062.0,60k,B,23-Jul
2026-07-24,30777.0,31338.0,62115.0,62k,B,24-Jul
2026-07-25,27540.0,28910.0,56450.0,56k,B,25-Jul
2026-07-26,31303.0,30919.0,62222.0,62k,B,26-Jul
2026-07-27,31167.0,30711.0,61878.0,62k,B,27-Jul
2026-07-28,28636.0,27061.0,55697.0,56k,B,28-Jul
2026-07-29,27126.0,27876.0,55002.0,55k,B,29-Jul
2026-07-30,30694.0,29923.0,60617.0,61k,B,30-Jul
2026-07-31,31388.0,30774.0,62162.0,62k,B,31-Jul
2026-08-01,27894.0,28238.0,56132.0,56k,B,01-Aug
2026-08-02,31966.0,31151.0,63117.0,63k,A,02-Aug
2026-08-03,31223.0,31086.0,62309.0,62k,B,03-Aug
2026-08-04,29294.0,26945.0,56239.0,56k,B,04-Aug
2026-08-05,27319.0,27472.0,54791.0,55k,B,05-Aug
2026-08-06,30777.0,29537.0,60314.0,60k,B,06-Aug
