Date,Start,End,Duration_Minutes,Max_DownHall
2026-07-03,2026-07-03 19:30:00,2026-07-03 19:45:00,15,86.0
2026-07-05,2026-07-05 02:30:00,2026-07-05 02:45:00,15,7.0
2026-07-05,2026-07-05 16:45:00,2026-07-05 17:15:00,30,124.0
2026-07-05,2026-07-05 17:30:00,2026-07-05 17:45:00,15,244.0
2026-07-10,2026-07-10 19:30:00,2026-07-10 19:45:00,15,131.0
2026-07-12,2026-07-12 02:30:00,2026-07-12 02:45:00,15,57.0
2026-07-12,2026-07-12 16:45:00,2026-07-12 17:15:00,30,122.0
2026-07-17,2026-07-17 19:00:00,2026-07-17 19:15:00,15,6.0
2026-07-17,2026-07-17 19:30:00,2026-07-17 19:45:00,15,100.0
2026-07-19,2026-07-19 17:00:00,2026-07-19 17:15:00,15,11.0
2026-07-24,2026-07-24 19:00:00,2026-07-24 19:15:00,15,42.0
2026-07-24,2026-07-24 19:30:00,2026-07-24 19:45:00,15,114.0
2026-07-26,2026-07-26 01:00:00,2026-07-26 01:15:00,15,9.0
2026-07-31,2026-07-31 19:00:00,2026-07-31 19:15:00,15,47.0
2026-07-31,2026-07-31 19:30:00,2026-07-31 19:45:00,15,140.0
2026-08-02,2026-08-02 17:30:00,2026-08-02 17:45:00,15,66.0
