Date,Start,End,Duration_Minutes,Max_DownHall
2026-09-20,2026-09-20 02:15:00,2026-09-20 02:45:00,30,104.0
2026-09-27,2026-09-27 02:00:00,2026-09-27 02:45:00,45,81.0
2026-10-04,2026-10-04 02:15:00,2026-10-04 02:45:00,30,34.0
2026-10-11,2026-10-11 02:00:00,2026-10-11 02:45:00,45,120.0
2026-10-15,2026-10-15 19:15:00,2026-10-15 19:30:00,15,40.0
2026-10-16,2026-10-16 19:15:00,2026-10-16 19:30:00,15,103.0
2026-10-18,2026-10-18 01:00:00,2026-10-18 01:15:00,15,16.0
2026-10-18,2026-10-18 02:00:00,2026-10-18 02:45:00,45,231.0
2026-10-22,2026-10-22 19:15:00,2026-10-22 19:30:00,15,294.0
2026-10-22,2026-10-22 20:00:00,2026-10-22 20:45:00,45,154.0
