Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-08-04,29604.0,26851.0,56455.0,56k,B,04-Aug
2026-08-05,28459.0,27710.0,56169.0,56k,B,05-Aug
2026-08-06,32177.0,29229.0,61406.0,61k,B,06-Aug
2026-08-07,32521.0,30443.0,62964.0,63k,B,07-Aug
2026-08-08,28477.0,28653.0,57130.0,57k,B,08-Aug
2026-08-09,32570.0,31261.0,63831.0,64k,A,09-Aug
2026-08-10,31921.0,31149.0,63070.0,63k,A,10-Aug
2026-08-11,29302.0,27343.0,56645.0,57k,B,11-Aug
2026-08-12,28003.0,29403.0,57406.0,57k,B,12-Aug
2026-08-13,30901.0,29867.0,60768.0,61k,B,13-Aug
2026-08-14,31757.0,30992.0,62749.0,63k,B,14-Aug
2026-08-15,27410.0,28324.0,55734.0,56k,B,15-Aug
2026-08-16,31812.0,31110.0,62922.0,63k,B,16-Aug
2026-08-17,30955.0,31357.0,62312.0,62k,B,17-Aug
2026-08-18,27981.0,28077.0,56058.0,56k,B,18-Aug
2026-08-19,27111.0,28328.0,55439.0,55k,B,19-Aug
2026-08-20,30823.0,30637.0,61460.0,61k,B,20-Aug
2026-08-21,30485.0,32194.0,62679.0,63k,B,21-Aug
2026-08-22,26612.0,28752.0,55364.0,55k,B,22-Aug
2026-08-23,30296.0,31209.0,61505.0,62k,B,23-Aug
2026-08-24,29065.0,31738.0,60803.0,61k,B,24-Aug
2026-08-25,25486.0,28200.0,53686.0,54k,B,25-Aug
2026-08-26,25087.0,28458.0,53545.0,54k,B,26-Aug
2026-08-27,28882.0,29891.0,58773.0,59k,B,27-Aug
2026-08-28,30768.0,30621.0,61389.0,61k,B,28-Aug
2026-08-29,26879.0,28064.0,54943.0,55k,B,29-Aug
2026-08-30,31048.0,30513.0,61561.0,62k,B,30-Aug
2026-08-31,29338.0,31442.0,60780.0,61k,B,31-Aug
2026-09-01,25685.0,25805.0,51490.0,51k,C,01-Sep
2026-09-02,26571.0,27134.0,53705.0,54k,B,02-Sep
2026-09-03,29845.0,28330.0,58175.0,58k,B,03-Sep
2026-09-04,31445.0,29816.0,61261.0,61k,B,04-Sep
2026-09-05,26107.0,26254.0,52361.0,52k,C,05-Sep
2026-09-06,32067.0,30190.0,62257.0,62k,B,06-Sep
2026-09-07,30575.0,30436.0,61011.0,61k,B,07-Sep
2026-09-08,26395.0,25286.0,51681.0,52k,C,08-Sep
2026-09-09,27332.0,27196.0,54528.0,55k,B,09-Sep
2026-09-10,30291.0,28951.0,59242.0,59k,B,10-Sep
2026-09-11,31211.0,30463.0,61674.0,62k,B,11-Sep
2026-09-12,25424.0,26282.0,51706.0,52k,C,12-Sep
2026-09-13,32453.0,31327.0,63780.0,64k,A,13-Sep
2026-09-14,29977.0,30092.0,60069.0,60k,B,14-Sep
2026-09-15,26449.0,25706.0,52155.0,52k,C,15-Sep
2026-09-16,26608.0,27004.0,53612.0,54k,B,16-Sep
2026-09-17,29721.0,29353.0,59074.0,59k,B,17-Sep
2026-09-18,31029.0,30618.0,61647.0,62k,B,18-Sep
2026-09-19,25796.0,26678.0,52474.0,52k,C,19-Sep
2026-09-20,32202.0,30800.0,63002.0,63k,A,20-Sep
2026-09-21,29194.0,29400.0,58594.0,59k,B,21-Sep
2026-09-22,25403.0,25217.0,50620.0,51k,C,22-Sep
2026-09-23,25906.0,26359.0,52265.0,52k,C,23-Sep
2026-09-24,29869.0,29619.0,59488.0,59k,B,24-Sep
2026-09-25,31150.0,31032.0,62182.0,62k,B,25-Sep
2026-09-26,25105.0,26445.0,51550.0,52k,C,26-Sep
2026-09-27,31941.0,30697.0,62638.0,63k,B,27-Sep
2026-09-28,29781.0,29980.0,59761.0,60k,B,28-Sep
2026-09-29,25818.0,25412.0,51230.0,51k,C,29-Sep
2026-09-30,26441.0,26025.0,52466.0,52k,C,30-Sep
2026-10-01,29828.0,28035.0,57863.0,58k,B,01-Oct
2026-10-02,30715.0,29772.0,60487.0,60k,B,02-Oct
2026-10-03,25215.0,27319.0,52534.0,53k,C,03-Oct
2026-10-04,31028.0,32024.0,63052.0,63k,A,04-Oct
2026-10-05,27459.0,31101.0,58560.0,59k,B,05-Oct
2026-10-06,24030.0,26279.0,50309.0,50k,C,06-Oct
2026-10-07,25238.0,28397.0,53635.0,54k,B,07-Oct
2026-10-08,28973.0,29967.0,58940.0,59k,B,08-Oct
2026-10-09,30238.0,31494.0,61732.0,62k,B,09-Oct
2026-10-10,24571.0,28028.0,52599.0,53k,C,10-Oct
2026-10-11,30700.0,32366.0,63066.0,63k,A,11-Oct
2026-10-12,28168.0,32593.0,60761.0,61k,B,12-Oct
2026-10-13,25106.0,27907.0,53013.0,53k,B,13-Oct
2026-10-14,27275.0,28417.0,55692.0,56k,B,14-Oct
2026-10-15,31271.0,28923.0,60194.0,60k,B,15-Oct
2026-10-16,31281.0,29877.0,61158.0,61k,B,16-Oct
2026-10-17,26211.0,26853.0,53064.0,53k,B,17-Oct
2026-10-18,33193.0,30902.0,64095.0,64k,A,18-Oct
2026-10-19,31072.0,29712.0,60784.0,61k,B,19-Oct
2026-10-20,26698.0,23331.0,50029.0,50k,C,20-Oct
2026-10-21,27657.0,24082.0,51739.0,52k,C,21-Oct
2026-10-22,31296.0,24889.0,56185.0,56k,B,22-Oct
2026-10-23,31101.0,27376.0,58477.0,58k,B,23-Oct
