Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-07-10,31102.0,32104.0,63206.0,63k,A,10-Jul
2026-07-11,28103.0,29443.0,57546.0,58k,B,11-Jul
2026-07-12,32522.0,31381.0,63903.0,64k,A,12-Jul
2026-07-13,30633.0,31303.0,61936.0,62k,B,13-Jul
2026-07-14,28573.0,28165.0,56738.0,57k,B,14-Jul
2026-07-15,27603.0,28479.0,56082.0,56k,B,15-Jul
2026-07-16,31073.0,30167.0,61240.0,61k,B,16-Jul
2026-07-17,31622.0,31316.0,62938.0,63k,B,17-Jul
2026-07-18,27867.0,28477.0,56344.0,56k,B,18-Jul
2026-07-19,32487.0,31081.0,63568.0,64k,A,19-Jul
2026-07-20,30944.0,30797.0,61741.0,62k,B,20-Jul
2026-07-21,28649.0,27264.0,55913.0,56k,B,21-Jul
2026-07-22,27524.0,27683.0,55207.0,55k,B,22-Jul
2026-07-23,30259.0,29717.0,59976.0,60k,B,23-Jul
