Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-04-07,22358.0,23286.0,45644.0,46k,C,07-Apr
2026-04-08,24561.0,24615.0,49176.0,49k,C,08-Apr
2026-04-09,28077.0,24983.0,53060.0,53k,B,09-Apr
2026-04-10,27915.0,26713.0,54628.0,55k,B,10-Apr
2026-04-11,22708.0,22856.0,45564.0,46k,C,11-Apr
2026-04-12,29928.0,26771.0,56699.0,57k,B,12-Apr
2026-04-13,28444.0,25227.0,53671.0,54k,B,13-Apr
2026-04-14,24418.0,21733.0,46151.0,46k,C,14-Apr
2026-04-15,26582.0,23549.0,50131.0,50k,C,15-Apr
2026-04-16,29109.0,24725.0,53834.0,54k,B,16-Apr
2026-04-17,28871.0,26991.0,55862.0,56k,B,17-Apr
2026-04-18,23264.0,22172.0,45436.0,45k,C,18-Apr
2026-04-19,29814.0,25533.0,55347.0,55k,B,19-Apr
2026-04-20,28287.0,27054.0,55341.0,55k,B,20-Apr
