Schedule Date,A,D,Total,Total_k,Ranking,Date_Label
2026-06-06,25171.0,27610.0,52781.0,53k,C,06-Jun
2026-06-07,30108.0,29419.0,59527.0,60k,B,07-Jun
2026-06-08,27242.0,30354.0,57596.0,58k,B,08-Jun
2026-06-09,25501.0,26808.0,52309.0,52k,C,09-Jun
2026-06-10,25200.0,28015.0,53215.0,53k,B,10-Jun
2026-06-11,28183.0,29815.0,57998.0,58k,B,11-Jun
2026-06-12,29954.0,30205.0,60159.0,60k,B,12-Jun
2026-06-13,25386.0,26722.0,52108.0,52k,C,13-Jun
2026-06-14,30534.0,30245.0,60779.0,61k,B,14-Jun
2026-06-15,28463.0,29841.0,58304.0,58k,B,15-Jun
2026-06-16,26474.0,25955.0,52429.0,52k,C,16-Jun
2026-06-17,27024.0,27297.0,54321.0,54k,B,17-Jun
2026-06-18,30061.0,29815.0,59876.0,60k,B,18-Jun
2026-06-19,30963.0,31175.0,62138.0,62k,B,19-Jun
2026-06-20,25967.0,27666.0,53633.0,54k,B,20-Jun
2026-06-21,31137.0,31547.0,62684.0,63k,B,21-Jun
2026-06-22,29271.0,30745.0,60016.0,60k,B,22-Jun
2026-06-23,26846.0,27527.0,54373.0,54k,B,23-Jun
2026-06-24,25797.0,28701.0,54498.0,54k,B,24-Jun
2026-06-25,29022.0,31595.0,60617.0,61k,B,25-Jun
2026-06-26,31460.0,32727.0,64187.0,64k,A,26-Jun
2026-06-27,26568.0,28471.0,55039.0,55k,B,27-Jun
2026-06-28,32290.0,32481.0,64771.0,65k,A,28-Jun
2026-06-29,29853.0,31122.0,60975.0,61k,B,29-Jun
2026-06-30,27985.0,27709.0,55694.0,56k,B,30-Jun
2026-07-01,25937.0,28615.0,54552.0,55k,B,01-Jul
2026-07-02,30808.0,31762.0,62570.0,63k,B,02-Jul
2026-07-03,31454.0,32036.0,63490.0,63k,A,03-Jul
2026-07-04,28220.0,29419.0,57639.0,58k,B,04-Jul
2026-07-05,32099.0,31388.0,63487.0,63k,A,05-Jul
2026-07-06,31163.0,31642.0,62805.0,63k,B,06-Jul
2026-07-07,29204.0,27778.0,56982.0,57k,B,07-Jul
2026-07-08,27397.0,28699.0,56096.0,56k,B,08-Jul
2026-07-09,31227.0,31603.0,62830.0,63k,B,09-Jul
2026-07-10,31335.0,32357.0,63692.0,64k,A,10-Jul
2026-07-11,28100.0,29056.0,57156.0,57k,B,11-Jul
