Date,Start,End,Duration_Minutes,Max_DownHall
2026-06-28,2026-06-28 16:45:00,2026-06-28 17:15:00,30,10.0
2026-07-03,2026-07-03 19:30:00,2026-07-03 19:45:00,15,140.0
2026-07-05,2026-07-05 02:30:00,2026-07-05 02:45:00,15,37.0
2026-07-05,2026-07-05 16:45:00,2026-07-05 17:15:00,30,119.0
2026-07-05,2026-07-05 17:30:00,2026-07-05 17:45:00,15,261.0
2026-07-10,2026-07-10 19:30:00,2026-07-10 19:45:00,15,174.0
2026-07-12,2026-07-12 02:15:00,2026-07-12 02:45:00,30,73.0
2026-07-12,2026-07-12 16:45:00,2026-07-12 17:15:00,30,121.0
2026-07-17,2026-07-17 19:00:00,2026-07-17 19:15:00,15,65.0
2026-07-17,2026-07-17 19:30:00,2026-07-17 19:45:00,15,176.0
