Stand,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,Total
1,0,81,63,79,77,141,119,205,153,161,178,167,166,113,105,97,145,228,235,22,2535
10,2,173,230,241,225,373,373,434,380,536,588,367,454,308,152,399,425,503,401,96,6660
100,0,42,0,42,56,108,98,122,70,43,34,25,37,61,54,87,57,168,112,2,1218
102,0,18,14,56,69,82,116,82,105,71,112,66,82,26,14,104,149,207,67,4,1444
103,0,34,48,42,27,106,115,130,95,65,7,20,43,96,59,98,189,240,71,8,1493
104,0,35,12,9,40,86,45,96,54,33,34,64,40,13,29,54,0,0,0,0,644
105,0,8,17,3,27,42,30,64,27,39,24,36,0,0,0,2,67,107,87,0,580
106,0,0,0,0,0,0,0,0,0,0,0,34,31,24,36,44,46,49,87,0,351
11,0,192,200,247,212,446,339,443,396,507,530,320,324,243,218,335,311,529,418,86,6296
12,0,0,0,1,4,3,7,10,19,10,17,9,11,12,6,13,11,25,38,8,204
14,0,153,128,208,177,178,233,171,252,304,331,304,243,198,173,287,209,434,294,39,4316
15,0,0,0,0,0,0,0,4,13,5,1,3,5,8,1,0,3,12,9,3,67
15A,0,182,186,215,195,256,229,329,238,310,399,248,249,231,230,257,305,373,294,79,4805
15B,0,201,175,273,256,353,378,349,322,539,497,367,345,293,231,415,313,461,368,74,6210
16,0,10,8,2,4,0,8,43,16,33,24,64,27,44,40,16,18,16,115,2,490
16A,0,108,111,159,167,238,224,244,207,334,264,158,184,105,111,248,292,305,277,96,3832
16B,0,113,105,167,136,169,173,234,225,241,296,146,175,83,99,232,207,234,327,62,3424
17,0,157,165,185,181,277,245,362,290,381,340,399,420,347,351,474,443,577,469,77,6140
18,0,0,1,5,2,1,9,32,39,178,60,0,0,0,0,0,2,10,85,21,445
19,0,14,13,14,19,22,23,37,49,32,14,0,0,0,0,0,0,0,0,0,237
1A,0,110,57,82,152,224,286,315,287,410,262,149,143,111,88,114,211,366,315,59,3741
1B,0,72,63,133,166,261,280,348,255,397,262,134,167,125,94,108,222,330,347,88,3852
2,0,39,85,100,57,114,126,97,109,95,125,110,74,65,54,40,98,128,277,79,1872
20,0,111,143,159,207,286,297,461,402,478,400,155,361,203,212,222,278,238,228,52,4893
200,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3
21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,0,0,0,0,3,2,2,1,0,0,3,0,0,0,0,0,0,1,22,0,34
22,0,184,161,183,202,229,283,366,366,398,356,156,318,208,167,197,324,396,406,116,5016
23,0,0,0,0,1,0,3,1,7,0,10,0,0,0,0,0,0,0,0,0,22
24,0,118,114,106,136,218,244,314,278,393,262,87,212,140,169,165,181,346,401,80,3964
