Stand,Year Month,Ambulift Jobs
1,2025-01,81
1,2025-02,63
1,2025-03,79
1,2025-04,77
1,2025-05,141
1,2025-06,119
1,2025-07,205
1,2025-08,153
1,2025-09,161
1,2025-10,178
1,2025-11,167
1,2025-12,166
1,2026-01,113
1,2026-02,105
1,2026-03,97
1,2026-04,145
1,2026-05,228
1,2026-06,235
1,2026-07,22
10,2024-12,2
10,2025-01,173
10,2025-02,230
10,2025-03,241
10,2025-04,225
10,2025-05,373
10,2025-06,373
10,2025-07,434
10,2025-08,380
10,2025-09,536
10,2025-10,588
10,2025-11,367
10,2025-12,454
10,2026-01,308
10,2026-02,152
10,2026-03,399
10,2026-04,425
10,2026-05,503
10,2026-06,401
10,2026-07,96
100,2025-01,42
100,2025-03,42
100,2025-04,56
100,2025-05,108
100,2025-06,98
100,2025-07,122
100,2025-08,70
100,2025-09,43
100,2025-10,34
100,2025-11,25
100,2025-12,37
100,2026-01,61
100,2026-02,54
100,2026-03,87
100,2026-04,57
100,2026-05,168
100,2026-06,112
100,2026-07,2
102,2025-01,18
102,2025-02,14
102,2025-03,56
102,2025-04,69
102,2025-05,82
102,2025-06,116
102,2025-07,82
102,2025-08,105
102,2025-09,71
102,2025-10,112
102,2025-11,66
102,2025-12,82
102,2026-01,26
102,2026-02,14
102,2026-03,104
102,2026-04,149
102,2026-05,207
102,2026-06,67
102,2026-07,4
103,2025-01,34
103,2025-02,48
103,2025-03,42
103,2025-04,27
103,2025-05,106
103,2025-06,115
103,2025-07,130
103,2025-08,95
103,2025-09,65
103,2025-10,7
103,2025-11,20
103,2025-12,43
103,2026-01,96
103,2026-02,59
103,2026-03,98
103,2026-04,189
103,2026-05,240
103,2026-06,71
103,2026-07,8
104,2025-01,35
104,2025-02,12
104,2025-03,9
104,2025-04,40
104,2025-05,86
104,2025-06,45
104,2025-07,96
104,2025-08,54
104,2025-09,33
104,2025-10,34
104,2025-11,64
104,2025-12,40
104,2026-01,13
104,2026-02,29
104,2026-03,54
105,2025-01,8
105,2025-02,17
105,2025-03,3
105,2025-04,27
105,2025-05,42
105,2025-06,30
105,2025-07,64
105,2025-08,27
105,2025-09,39
105,2025-10,24
105,2025-11,36
105,2026-03,2
105,2026-04,67
105,2026-05,107
105,2026-06,87
106,2025-11,34
106,2025-12,31
106,2026-01,24
106,2026-02,36
106,2026-03,44
106,2026-04,46
106,2026-05,49
106,2026-06,87
11,2025-01,192
11,2025-02,200
11,2025-03,247
11,2025-04,212
11,2025-05,446
11,2025-06,339
11,2025-07,443
11,2025-08,396
11,2025-09,507
11,2025-10,530
11,2025-11,320
11,2025-12,324
11,2026-01,243
11,2026-02,218
11,2026-03,335
11,2026-04,311
11,2026-05,529
11,2026-06,418
11,2026-07,86
12,2025-03,1
12,2025-04,4
12,2025-05,3
12,2025-06,7
12,2025-07,10
12,2025-08,19
12,2025-09,10
12,2025-10,17
12,2025-11,9
12,2025-12,11
12,2026-01,12
12,2026-02,6
12,2026-03,13
12,2026-04,11
12,2026-05,25
12,2026-06,38
12,2026-07,8
14,2025-01,153
14,2025-02,128
14,2025-03,208
14,2025-04,177
14,2025-05,178
14,2025-06,233
14,2025-07,171
14,2025-08,252
14,2025-09,304
14,2025-10,331
14,2025-11,304
14,2025-12,243
14,2026-01,198
14,2026-02,173
14,2026-03,287
14,2026-04,209
14,2026-05,434
14,2026-06,294
14,2026-07,39
15,2025-07,4
15,2025-08,13
15,2025-09,5
15,2025-10,1
15,2025-11,3
15,2025-12,5
15,2026-01,8
15,2026-02,1
15,2026-04,3
15,2026-05,12
15,2026-06,9
15,2026-07,3
15A,2025-01,182
15A,2025-02,186
15A,2025-03,215
15A,2025-04,195
15A,2025-05,256
15A,2025-06,229
15A,2025-07,329
15A,2025-08,238
15A,2025-09,310
15A,2025-10,399
15A,2025-11,248
15A,2025-12,249
15A,2026-01,231
15A,2026-02,230
15A,2026-03,257
15A,2026-04,305
15A,2026-05,373
15A,2026-06,294
15A,2026-07,79
15B,2025-01,201
15B,2025-02,175
15B,2025-03,273
15B,2025-04,256
15B,2025-05,353
15B,2025-06,378
15B,2025-07,349
15B,2025-08,322
15B,2025-09,539
15B,2025-10,497
15B,2025-11,367
15B,2025-12,345
15B,2026-01,293
15B,2026-02,231
15B,2026-03,415
15B,2026-04,313
15B,2026-05,461
15B,2026-06,368
15B,2026-07,74
16,2025-01,10
16,2025-02,8
16,2025-03,2
16,2025-04,4
16,2025-06,8
16,2025-07,43
16,2025-08,16
16,2025-09,33
16,2025-10,24
16,2025-11,64
16,2025-12,27
16,2026-01,44
16,2026-02,40
16,2026-03,16
16,2026-04,18
16,2026-05,16
16,2026-06,115
16,2026-07,2
16A,2025-01,108
16A,2025-02,111
16A,2025-03,159
16A,2025-04,167
16A,2025-05,238
16A,2025-06,224
16A,2025-07,244
16A,2025-08,207
16A,2025-09,334
16A,2025-10,264
16A,2025-11,158
16A,2025-12,184
16A,2026-01,105
16A,2026-02,111
16A,2026-03,248
16A,2026-04,292
16A,2026-05,305
16A,2026-06,277
16A,2026-07,96
16B,2025-01,113
16B,2025-02,105
16B,2025-03,167
16B,2025-04,136
16B,2025-05,169
16B,2025-06,173
16B,2025-07,234
16B,2025-08,225
16B,2025-09,241
16B,2025-10,296
16B,2025-11,146
16B,2025-12,175
16B,2026-01,83
16B,2026-02,99
16B,2026-03,232
16B,2026-04,207
16B,2026-05,234
16B,2026-06,327
16B,2026-07,62
17,2025-01,157
17,2025-02,165
17,2025-03,185
17,2025-04,181
17,2025-05,277
17,2025-06,245
17,2025-07,362
17,2025-08,290
17,2025-09,381
17,2025-10,340
17,2025-11,399
17,2025-12,420
17,2026-01,347
17,2026-02,351
17,2026-03,474
17,2026-04,443
17,2026-05,577
17,2026-06,469
17,2026-07,77
18,2025-02,1
18,2025-03,5
18,2025-04,2
18,2025-05,1
18,2025-06,9
18,2025-07,32
18,2025-08,39
18,2025-09,178
18,2025-10,60
18,2026-04,2
18,2026-05,10
18,2026-06,85
18,2026-07,21
19,2025-01,14
19,2025-02,13
19,2025-03,14
19,2025-04,19
19,2025-05,22
19,2025-06,23
19,2025-07,37
19,2025-08,49
19,2025-09,32
19,2025-10,14
1A,2025-01,110
1A,2025-02,57
1A,2025-03,82
1A,2025-04,152
1A,2025-05,224
1A,2025-06,286
1A,2025-07,315
1A,2025-08,287
1A,2025-09,410
1A,2025-10,262
1A,2025-11,149
1A,2025-12,143
1A,2026-01,111
1A,2026-02,88
1A,2026-03,114
1A,2026-04,211
1A,2026-05,366
1A,2026-06,315
1A,2026-07,59
1B,2025-01,72
1B,2025-02,63
1B,2025-03,133
1B,2025-04,166
1B,2025-05,261
1B,2025-06,280
1B,2025-07,348
1B,2025-08,255
1B,2025-09,397
1B,2025-10,262
1B,2025-11,134
1B,2025-12,167
1B,2026-01,125
1B,2026-02,94
1B,2026-03,108
1B,2026-04,222
1B,2026-05,330
1B,2026-06,347
1B,2026-07,88
2,2025-01,39
2,2025-02,85
2,2025-03,100
2,2025-04,57
2,2025-05,114
2,2025-06,126
2,2025-07,97
2,2025-08,109
2,2025-09,95
2,2025-10,125
2,2025-11,110
2,2025-12,74
2,2026-01,65
2,2026-02,54
2,2026-03,40
2,2026-04,98
2,2026-05,128
2,2026-06,277
2,2026-07,79
20,2025-01,111
20,2025-02,143
20,2025-03,159
20,2025-04,207
20,2025-05,286
20,2025-06,297
20,2025-07,461
20,2025-08,402
20,2025-09,478
20,2025-10,400
20,2025-11,155
20,2025-12,361
20,2026-01,203
20,2026-02,212
20,2026-03,222
20,2026-04,278
20,2026-05,238
20,2026-06,228
20,2026-07,52
200,2025-01,4
200,2025-05,1
202,2026-06,3
206,2025-12,1
206,2026-03,2
21,2025-04,1
211,2025-04,3
211,2025-05,2
211,2025-06,2
211,2025-07,1
211,2025-10,3
211,2026-05,1
211,2026-06,22
22,2025-01,184
22,2025-02,161
