Year Month,Ambulift Usage,Passengers
2024-12,Had Ambulift job,2
2025-01,Had Ambulift job,198
2025-01,No Ambulift job / assumed Jetbridge,94
2025-02,Had Ambulift job,216
2025-02,No Ambulift job / assumed Jetbridge,112
2025-03,Had Ambulift job,264
2025-03,No Ambulift job / assumed Jetbridge,159
2025-04,Had Ambulift job,342
2025-04,No Ambulift job / assumed Jetbridge,275
2025-05,Had Ambulift job,509
2025-05,No Ambulift job / assumed Jetbridge,405
2025-06,Had Ambulift job,493
2025-06,No Ambulift job / assumed Jetbridge,350
2025-07,Had Ambulift job,571
2025-07,No Ambulift job / assumed Jetbridge,180
2025-08,Had Ambulift job,585
2025-08,No Ambulift job / assumed Jetbridge,249
2025-09,Had Ambulift job,590
2025-09,No Ambulift job / assumed Jetbridge,290
2025-10,Had Ambulift job,599
2025-10,No Ambulift job / assumed Jetbridge,243
2025-11,Had Ambulift job,453
2025-11,No Ambulift job / assumed Jetbridge,158
2025-12,Had Ambulift job,575
2025-12,No Ambulift job / assumed Jetbridge,127
2026-01,Had Ambulift job,339
2026-01,No Ambulift job / assumed Jetbridge,91
2026-02,Had Ambulift job,195
2026-02,No Ambulift job / assumed Jetbridge,41
2026-03,Had Ambulift job,402
2026-03,No Ambulift job / assumed Jetbridge,128
2026-04,Had Ambulift job,473
2026-04,No Ambulift job / assumed Jetbridge,169
2026-05,Had Ambulift job,512
2026-05,No Ambulift job / assumed Jetbridge,225
2026-06,Had Ambulift job,541
2026-06,No Ambulift job / assumed Jetbridge,183
2026-07,Had Ambulift job,121
2026-07,No Ambulift job / assumed Jetbridge,55
