Stand,Raw Job Rows,Unique Passengers
10,29996,15718
15A,27616,12855
15B,26140,11371
17,25575,10883
11,25510,11498
22,24419,10501
20,23382,10337
16A,21046,9625
16,20735,12716
16B,20552,10459
1B,18832,8332
24,18644,7893
1,18453,9981
3,18450,10490
1A,18197,8046
4,18191,10105
6,17848,8054
9,16689,8489
2,16115,9045
14,15851,7318
25,15362,6515
18,14779,10310
8,11543,5191
7,10211,4775
102,5095,2267
103,5056,2307
100,4412,2001
30,4334,1835
5,4209,2003
31,4064,1745
15,3913,2668
4A,3207,2160
29,2883,1222
33,2587,1137
104,2525,1109
105,2285,947
27,2249,976
309,2140,867
310,2010,866
311,1913,795
19,1898,942
308,1771,751
28,1584,643
106,1375,529
312,1344,589
32,1265,581
12,997,463
26,945,421
,939,465
313,624,269
34,539,212
314,408,167
405,208,110
315,192,74
404,192,73
316,183,89
406,180,82
211,158,61
407,156,69
317,144,69
317A,119,49
403,81,39
23,76,33
200,28,12
206,13,5
202,12,6
21,10,4
212,10,4
