Stand Group,SSR Code,Year Month,Passengers
Excluding stands 8/9/10,WCHC,2025-01,448
Excluding stands 8/9/10,WCHC,2025-02,449
Excluding stands 8/9/10,WCHC,2025-03,514
Excluding stands 8/9/10,WCHC,2025-04,575
Excluding stands 8/9/10,WCHC,2025-05,742
Excluding stands 8/9/10,WCHC,2025-06,767
Excluding stands 8/9/10,WCHC,2025-07,787
Excluding stands 8/9/10,WCHC,2025-08,741
Excluding stands 8/9/10,WCHC,2025-09,787
Excluding stands 8/9/10,WCHC,2025-10,883
Excluding stands 8/9/10,WCHC,2025-11,548
Excluding stands 8/9/10,WCHC,2025-12,532
Excluding stands 8/9/10,WCHC,2026-01,393
Excluding stands 8/9/10,WCHC,2026-02,474
Excluding stands 8/9/10,WCHC,2026-03,432
Excluding stands 8/9/10,WCHC,2026-04,561
Excluding stands 8/9/10,WCHC,2026-05,716
Excluding stands 8/9/10,WCHC,2026-06,719
Excluding stands 8/9/10,WCHC,2026-07,172
Excluding stands 8/9/10,WCHS,2025-01,2876
Excluding stands 8/9/10,WCHS,2025-02,2512
Excluding stands 8/9/10,WCHS,2025-03,3472
Excluding stands 8/9/10,WCHS,2025-04,3924
Excluding stands 8/9/10,WCHS,2025-05,5739
Excluding stands 8/9/10,WCHS,2025-06,5486
Excluding stands 8/9/10,WCHS,2025-07,5023
Excluding stands 8/9/10,WCHS,2025-08,5019
Excluding stands 8/9/10,WCHS,2025-09,6392
Excluding stands 8/9/10,WCHS,2025-10,5399
Excluding stands 8/9/10,WCHS,2025-11,3861
Excluding stands 8/9/10,WCHS,2025-12,4206
Excluding stands 8/9/10,WCHS,2026-01,3285
Excluding stands 8/9/10,WCHS,2026-02,3017
Excluding stands 8/9/10,WCHS,2026-03,3835
Excluding stands 8/9/10,WCHS,2026-04,4398
Excluding stands 8/9/10,WCHS,2026-05,6483
Excluding stands 8/9/10,WCHS,2026-06,6188
Excluding stands 8/9/10,WCHS,2026-07,1318
Stands 8/9/10 only,WCHC,2025-01,30
Stands 8/9/10 only,WCHC,2025-02,39
Stands 8/9/10 only,WCHC,2025-03,55
Stands 8/9/10 only,WCHC,2025-04,57
Stands 8/9/10 only,WCHC,2025-05,107
Stands 8/9/10 only,WCHC,2025-06,75
Stands 8/9/10 only,WCHC,2025-07,77
Stands 8/9/10 only,WCHC,2025-08,69
Stands 8/9/10 only,WCHC,2025-09,74
Stands 8/9/10 only,WCHC,2025-10,92
Stands 8/9/10 only,WCHC,2025-11,65
Stands 8/9/10 only,WCHC,2025-12,74
Stands 8/9/10 only,WCHC,2026-01,36
Stands 8/9/10 only,WCHC,2026-02,32
Stands 8/9/10 only,WCHC,2026-03,52
Stands 8/9/10 only,WCHC,2026-04,46
Stands 8/9/10 only,WCHC,2026-05,70
Stands 8/9/10 only,WCHC,2026-06,77
Stands 8/9/10 only,WCHC,2026-07,11
Stands 8/9/10 only,WCHS,2024-12,2
Stands 8/9/10 only,WCHS,2025-01,262
Stands 8/9/10 only,WCHS,2025-02,290
Stands 8/9/10 only,WCHS,2025-03,368
Stands 8/9/10 only,WCHS,2025-04,560
Stands 8/9/10 only,WCHS,2025-05,807
Stands 8/9/10 only,WCHS,2025-06,768
Stands 8/9/10 only,WCHS,2025-07,674
Stands 8/9/10 only,WCHS,2025-08,765
Stands 8/9/10 only,WCHS,2025-09,806
Stands 8/9/10 only,WCHS,2025-10,752
Stands 8/9/10 only,WCHS,2025-11,546
Stands 8/9/10 only,WCHS,2025-12,628
Stands 8/9/10 only,WCHS,2026-01,394
Stands 8/9/10 only,WCHS,2026-02,205
Stands 8/9/10 only,WCHS,2026-03,478
Stands 8/9/10 only,WCHS,2026-04,596
Stands 8/9/10 only,WCHS,2026-05,667
Stands 8/9/10 only,WCHS,2026-06,648
Stands 8/9/10 only,WCHS,2026-07,165
