Stand Group,Year Month,Passengers
Excluding stands 8/9/10,2025-01,3321
Excluding stands 8/9/10,2025-02,2958
Excluding stands 8/9/10,2025-03,3985
Excluding stands 8/9/10,2025-04,4494
Excluding stands 8/9/10,2025-05,6477
Excluding stands 8/9/10,2025-06,6246
Excluding stands 8/9/10,2025-07,5803
Excluding stands 8/9/10,2025-08,5758
Excluding stands 8/9/10,2025-09,7171
Excluding stands 8/9/10,2025-10,6279
Excluding stands 8/9/10,2025-11,4408
Excluding stands 8/9/10,2025-12,4736
Excluding stands 8/9/10,2026-01,3676
Excluding stands 8/9/10,2026-02,3490
Excluding stands 8/9/10,2026-03,4263
Excluding stands 8/9/10,2026-04,4952
Excluding stands 8/9/10,2026-05,7197
Excluding stands 8/9/10,2026-06,6903
Excluding stands 8/9/10,2026-07,1486
Stands 8/9/10 only,2024-12,2
Stands 8/9/10 only,2025-01,292
Stands 8/9/10 only,2025-02,328
Stands 8/9/10 only,2025-03,423
Stands 8/9/10 only,2025-04,617
Stands 8/9/10 only,2025-05,914
Stands 8/9/10 only,2025-06,843
Stands 8/9/10 only,2025-07,751
Stands 8/9/10 only,2025-08,834
Stands 8/9/10 only,2025-09,880
Stands 8/9/10 only,2025-10,842
Stands 8/9/10 only,2025-11,611
Stands 8/9/10 only,2025-12,702
Stands 8/9/10 only,2026-01,430
Stands 8/9/10 only,2026-02,236
Stands 8/9/10 only,2026-03,530
Stands 8/9/10 only,2026-04,642
Stands 8/9/10 only,2026-05,737
Stands 8/9/10 only,2026-06,724
Stands 8/9/10 only,2026-07,176
