fold_id,demand_type,horizon_days,horizon_label,training_start,training_end,validation_start,validation_end,test_month,shrinkage_strength,entry_booking_shrunk,entry_weekday,entry_month,entry_trend_month,training_wape_pct,validation_wape_pct,exit_booking_shrunk,exit_duration,exit_weekday,exit_trend_month
1,entry,0,T-0,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,1.0,0.0,0.0,0.0,0.9300190658721478,1.6047764484067257,,,,
1,entry,1,T-1,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.9,0.05,0.025,0.025,2.4517941826395155,5.252335475612852,,,,
1,entry,2,T-2,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.825,0.1,0.075,0.0,3.221902659026098,6.654834461906225,,,,
1,entry,3,T-3,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.8,0.15,0.05,0.0,3.5931522134940823,7.439253352609238,,,,
1,entry,4,T-4,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.825,0.175,0.0,0.0,3.932079951927583,7.813434550946609,,,,
1,entry,5,T-5,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.775,0.225,0.0,0.0,4.105065857409046,8.08589769265588,,,,
1,entry,6,T-6,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.775,0.225,0.0,0.0,4.2124621289819775,8.724809552325723,,,,
1,entry,7,T-7,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.7,0.3,0.0,0.0,4.880688006452683,9.379209446167103,,,,
1,entry,14,T-14,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.425,0.425,0.15,0.0,7.419776088491337,14.40103908020458,,,,
1,entry,21,T-21,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.0,0.2,0.8,0.0,14.377339635962578,14.802905618205834,,,,
1,entry,28,T-28,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.0,0.0,1.0,0.0,17.731380435465706,14.85573504013004,,,,
1,entry,35,T-35,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.0,0.0,1.0,0.0,17.731380435465706,14.85573504013004,,,,
1,entry,42,T-42,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.125,0.2,0.675,0.0,11.009837615690127,14.467078943982193,,,,
1,entry,49,T-49,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.2,0.175,0.625,0.0,10.531310522016465,14.483229998501967,,,,
1,entry,56,T-56,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,0.1,0.0,0.9,0.0,15.096235893304566,14.69501490187898,,,,
1,exit,0,T-0,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,25,,,,,3.2195201818763404,3.117168612875025,0.125,0.775,0.1,0.0
1,exit,1,T-1,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.056639777842989,2.890905458821151,0.925,0.0,0.075,0.0
1,exit,2,T-2,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.086543878615086,2.9064786634445436,0.0,0.9,0.075,0.025
1,exit,3,T-3,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.101826247433782,3.049409433972153,0.0,0.925,0.075,0.0
1,exit,4,T-4,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.193009971692476,3.155336796796579,0.0,0.925,0.075,0.0
1,exit,5,T-5,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.430076266298802,3.815562612326316,0.0,0.9,0.1,0.0
1,exit,6,T-6,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.794875515711794,4.261203952543965,0.425,0.425,0.15,0.0
1,exit,7,T-7,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,3.9281412653090113,5.097812953179819,0.225,0.65,0.125,0.0
1,exit,14,T-14,2025-07-01,2025-12-01,2026-01-01,2026-01-01,2026-02-01,0,,,,,6.001141105033118,9.918173238108523,0.65,0.1,0.25,0.0
