actual_window,actual_arrival_hour,booked_entry_hour,bookings,share_within_actual_hour
peak_03_06,3,0,92,0.002792702546823301
peak_03_06,3,1,169,0.005130073156664542
peak_03_06,3,2,2218,0.06732841574841393
peak_03_06,3,3,19829,0.6019184652278178
peak_03_06,3,4,9754,0.29608718088820085
peak_03_06,3,5,420,0.012749294235497678
peak_03_06,3,6,125,0.0037944328081838327
peak_03_06,3,7,23,0.0006981756367058252
peak_03_06,3,8,12,0.00036426554958564794
peak_03_06,3,9,15,0.00045533193698205993
peak_03_06,3,10,10,0.00030355462465470664
peak_03_06,3,11,12,0.00036426554958564794
peak_03_06,3,12,27,0.0008195974865677078
peak_03_06,3,13,9,0.00027319916218923596
peak_03_06,3,14,26,0.0007892420241022372
peak_03_06,3,15,91,0.0027623470843578302
peak_03_06,3,16,35,0.0010624411862914733
peak_03_06,3,17,12,0.00036426554958564794
peak_03_06,3,18,15,0.00045533193698205993
peak_03_06,3,19,12,0.00036426554958564794
peak_03_06,3,20,5,0.00015177731232735332
peak_03_06,3,21,11,0.00033391008712017726
peak_03_06,3,22,8,0.0002428436997237653
peak_03_06,3,23,13,0.0003946210120511186
peak_03_06,4,0,91,0.0015823335072161363
peak_03_06,4,1,68,0.0011824030603373326
peak_03_06,4,2,550,0.009563554164493131
peak_03_06,4,3,10314,0.17934272300469484
peak_03_06,4,4,38323,0.6663710659015823
peak_03_06,4,5,7055,0.12267431750999826
peak_03_06,4,6,509,0.008850634672230916
peak_03_06,4,7,86,0.0014953921057207441
peak_03_06,4,8,34,0.0005912015301686663
peak_03_06,4,9,23,0.0003999304468788037
peak_03_06,4,10,26,0.00045209528777603896
peak_03_06,4,11,28,0.0004868718483741958
peak_03_06,4,12,37,0.0006433663710659016
peak_03_06,4,13,10,0.0001738828029907842
peak_03_06,4,14,30,0.0005216484089723526
peak_03_06,4,15,65,0.0011302382194400974
peak_03_06,4,16,125,0.0021735350373848026
peak_03_06,4,17,31,0.0005390366892714311
peak_03_06,4,18,35,0.0006085898104677448
peak_03_06,4,19,20,0.0003477656059815684
peak_03_06,4,20,20,0.0003477656059815684
peak_03_06,4,21,12,0.00020865936358894105
peak_03_06,4,22,8,0.00013910624239262738
peak_03_06,4,23,10,0.0001738828029907842
peak_03_06,5,0,38,0.0010587612493382743
peak_03_06,5,1,19,0.0005293806246691371
