actual_window,start_hour,end_hour,slot_relation,bookings,share
00_03,0,3,booked_earlier_slot,63,0.01592920353982301
00_03,0,3,booked_inside_window,1525,0.38558786346396967
00_03,0,3,booked_later_slot,2367,0.5984829329962074
peak_03_06,3,6,booked_earlier_slot,3998,0.03164376622554296
peak_03_06,3,6,booked_inside_window,115611,0.9150493889697967
peak_03_06,3,6,booked_later_slot,6735,0.053306844804660296
06_10,6,10,booked_earlier_slot,6290,0.06702184336707512
06_10,6,10,booked_inside_window,79898,0.8513372402770378
06_10,6,10,booked_later_slot,7662,0.08164091635588705
peak_10_14,10,14,booked_earlier_slot,5609,0.04736850994831605
peak_10_14,10,14,booked_inside_window,106819,0.9020960713441205
peak_10_14,10,14,booked_later_slot,5984,0.05053541870756342
14_18,14,18,booked_earlier_slot,3888,0.11085134287506415
14_18,14,18,booked_inside_window,28909,0.8242287734504191
14_18,14,18,booked_later_slot,2277,0.06491988367451673
18_24,18,24,booked_earlier_slot,1704,0.22762489981298423
18_24,18,24,booked_inside_window,5653,0.7551429334758215
18_24,18,24,booked_later_slot,129,0.01723216671119423
