peak,duration_days,bookings,weight
peak_03_06,0,108,0.000854809092635978
peak_03_06,1,1637,0.012956689672639778
peak_03_06,2,2079,0.016455075033242575
peak_03_06,3,4522,0.03579117330462863
peak_03_06,4,12434,0.0984138542392199
peak_03_06,5,14808,0.11720382447919965
peak_03_06,6,8663,0.06856677008801368
peak_03_06,7,25193,0.19940005065535363
peak_03_06,8,24011,0.1900446400303932
peak_03_06,9,4315,0.03415278921040968
peak_03_06,10,6564,0.05195339707465333
peak_03_06,11,5815,0.0460251377192427
peak_03_06,12,2821,0.02232793009561198
peak_03_06,13,1280,0.010131070727537517
peak_03_06,14,3885,0.03074938263787754
peak_03_06,15,3239,0.02563635788007345
peak_03_06,16,1211,0.009584942696131197
peak_03_06,17,701,0.005548344203127968
peak_03_06,18,546,0.004321534857215222
peak_03_06,19,346,0.002738555056037485
peak_03_06,20,244,0.0019312353574368391
peak_03_06,21,407,0.003221363895396695
peak_03_06,22,488,0.0038624707148736783
peak_03_06,23,178,0.001408852023048186
peak_03_06,24,133,0.001052681567783195
peak_03_06,25,94,0.0007440005065535364
peak_03_06,26,61,0.0004828088393592098
peak_03_06,27,55,0.0004353194453238777
peak_03_06,28,114,0.0009022984866713101
peak_03_06,29,83,0.0006569366174887609
peak_03_06,30,57,0.00045114924333565504
peak_03_06,31,44,0.00034825555625910215
peak_03_06,32,39,0.0003086810612296587
peak_03_06,33,20,0.0001582979801177737
peak_03_06,34,18,0.00014246818210599633
peak_03_06,35,18,0.00014246818210599633
peak_03_06,36,26,0.0002057873741531058
peak_03_06,37,10,7.914899005888685e-05
peak_03_06,38,9,7.123409105299817e-05
peak_03_06,39,8,6.331919204710948e-05
peak_03_06,40,5,3.9574495029443426e-05
peak_03_06,41,4,3.165959602355474e-05
peak_03_06,42,6,4.748939403533211e-05
peak_03_06,43,10,7.914899005888685e-05
peak_03_06,44,6,4.748939403533211e-05
peak_03_06,45,5,3.9574495029443426e-05
peak_03_06,46,5,3.9574495029443426e-05
peak_03_06,47,2,1.582979801177737e-05
peak_03_06,48,3,2.3744697017666056e-05
peak_03_06,49,1,7.914899005888685e-06
peak_03_06,51,1,7.914899005888685e-06
peak_03_06,54,1,7.914899005888685e-06
peak_03_06,56,3,2.3744697017666056e-05
peak_03_06,57,1,7.914899005888685e-06
peak_03_06,59,1,7.914899005888685e-06
peak_03_06,60,6,4.748939403533211e-05
peak_10_14,0,78,0.0006587170219234537
peak_10_14,1,661,0.005582204506300037
peak_10_14,2,2250,0.01900145255548424
peak_10_14,3,3714,0.03136506435158599
peak_10_14,4,9276,0.07833665506874303
peak_10_14,5,7519,0.063498631895416
peak_10_14,6,5278,0.0445731851501537
peak_10_14,7,16007,0.13518055602472723
peak_10_14,8,35142,0.29677735364658986
peak_10_14,9,3592,0.03033476336857751
peak_10_14,10,6392,0.05398101543762456
peak_10_14,11,8382,0.0707867445866973
peak_10_14,12,3924,0.03313853325676452
peak_10_14,13,1317,0.011122183562476776
peak_10_14,14,2935,0.02478633922237611
peak_10_14,15,6782,0.05727460054724183
peak_10_14,16,1148,0.009694963348309294
peak_10_14,17,714,0.006029794277607
peak_10_14,18,649,0.005480863426004122
peak_10_14,19,403,0.0034033712799378443
peak_10_14,20,244,0.002060601966016958
peak_10_14,21,340,0.0028713306083842853
peak_10_14,22,587,0.004957267844475222
peak_10_14,23,193,0.0016299023747593149
peak_10_14,24,105,0.0008867344525892646
peak_10_14,25,93,0.0007853933722933486
peak_10_14,26,68,0.0005742661216768571
peak_10_14,27,52,0.0004391446812823025
peak_10_14,28,82,0.0006924973820220924
peak_10_14,29,125,0.0010556362530824578
peak_10_14,30,61,0.0005151504915042395
peak_10_14,31,48,0.00040536432118366383
peak_10_14,32,34,0.00028713306083842855
peak_10_14,33,23,0.00019423707056717224
peak_10_14,34,20,0.00016890180049319324
peak_10_14,35,28,0.00023646252069047056
peak_10_14,36,24,0.00020268216059183191
peak_10_14,37,24,0.00020268216059183191
peak_10_14,38,10,8.445090024659662e-05
peak_10_14,39,9,7.600581022193696e-05
peak_10_14,40,10,8.445090024659662e-05
peak_10_14,41,6,5.067054014795798e-05
peak_10_14,42,9,7.600581022193696e-05
peak_10_14,43,14,0.00011823126034523528
peak_10_14,44,7,5.911563017261764e-05
peak_10_14,45,1,8.445090024659663e-06
peak_10_14,46,6,5.067054014795798e-05
peak_10_14,47,1,8.445090024659663e-06
peak_10_14,48,2,1.6890180049319325e-05
peak_10_14,49,5,4.222545012329831e-05
peak_10_14,50,5,4.222545012329831e-05
peak_10_14,51,1,8.445090024659663e-06
peak_10_14,53,1,8.445090024659663e-06
peak_10_14,55,2,1.6890180049319325e-05
peak_10_14,56,1,8.445090024659663e-06
peak_10_14,60,8,6.75607201972773e-05
