actual_window,duration_band,price_quintile,slot_relation,bookings,avg_price_per_day,median_price_per_day,share_within_duration_price
peak_03_06,0-1 days,Q1_low_to_high,booked_earlier_slot,2,53.676411960132896,53.676411960132896,0.006825938566552901
peak_03_06,0-1 days,Q1_low_to_high,booked_inside_window,275,60.50429602940628,61.526153846153846,0.9385665529010239
peak_03_06,0-1 days,Q1_low_to_high,booked_later_slot,16,59.449576656036314,61.700571428571436,0.05460750853242321
peak_03_06,0-1 days,Q2_low_to_high,booked_earlier_slot,1,71.98400000000001,71.98400000000001,0.003003003003003003
peak_03_06,0-1 days,Q2_low_to_high,booked_inside_window,309,71.64343967602399,71.98285714285714,0.9279279279279279
peak_03_06,0-1 days,Q2_low_to_high,booked_later_slot,23,72.17416235592415,71.98400000000001,0.06906906906906907
peak_03_06,0-1 days,Q3_low_to_high,booked_earlier_slot,2,81.386,81.386,0.00625
peak_03_06,0-1 days,Q3_low_to_high,booked_inside_window,294,82.03108660119274,82.48500000000001,0.91875
peak_03_06,0-1 days,Q3_low_to_high,booked_later_slot,24,81.82383466394018,80.94278571428572,0.075
peak_03_06,0-1 days,Q4_low_to_high,booked_earlier_slot,1,102.29052631578948,102.29052631578948,0.003937007874015748
peak_03_06,0-1 days,Q4_low_to_high,booked_inside_window,210,94.35309012089228,93.31793050193049,0.8267716535433071
peak_03_06,0-1 days,Q4_low_to_high,booked_later_slot,43,94.9741340106831,94.32827586206898,0.16929133858267717
peak_03_06,0-1 days,Q5_low_to_high,booked_inside_window,141,144.3432138098154,119.98,0.8245614035087719
peak_03_06,0-1 days,Q5_low_to_high,booked_later_slot,30,221.06630716154856,121.82692307692308,0.17543859649122806
peak_03_06,2-3 days,Q1_low_to_high,booked_earlier_slot,29,21.77506167875768,21.981068702290077,0.022585669781931463
peak_03_06,2-3 days,Q1_low_to_high,booked_inside_window,1174,22.42565842219481,22.496250000000003,0.9143302180685359
peak_03_06,2-3 days,Q1_low_to_high,booked_later_slot,81,22.795367114213718,23.036160000000002,0.0630841121495327
peak_03_06,2-3 days,Q2_low_to_high,booked_earlier_slot,2,26.32928205128205,26.32928205128205,0.0027210884353741495
peak_03_06,2-3 days,Q2_low_to_high,booked_inside_window,654,26.390774619877096,26.214453781512603,0.889795918367347
peak_03_06,2-3 days,Q2_low_to_high,booked_later_slot,79,26.28007385645792,26.0648275862069,0.10748299319727891
peak_03_06,2-3 days,Q3_low_to_high,booked_earlier_slot,14,30.684018793767503,29.996666666666666,0.01580135440180587
peak_03_06,2-3 days,Q3_low_to_high,booked_inside_window,789,31.60535372953574,31.73157024793388,0.8905191873589164
peak_03_06,2-3 days,Q3_low_to_high,booked_later_slot,83,31.45440425808162,31.510303030303028,0.09367945823927765
peak_03_06,2-3 days,Q4_low_to_high,booked_earlier_slot,9,38.19331804851746,39.020487804878044,0.010356731875719217
peak_03_06,2-3 days,Q4_low_to_high,booked_inside_window,785,38.40419921041056,38.17636363636363,0.903337169159954
peak_03_06,2-3 days,Q4_low_to_high,booked_later_slot,75,38.80273584733318,38.9495652173913,0.08630609896432681
peak_03_06,2-3 days,Q5_low_to_high,booked_earlier_slot,4,63.337041176470585,60.23219999999999,0.0057306590257879654
peak_03_06,2-3 days,Q5_low_to_high,booked_inside_window,604,52.72060059218146,49.2745063156022,0.8653295128939829
peak_03_06,2-3 days,Q5_low_to_high,booked_later_slot,90,52.98253452645268,50.02087367178275,0.12893982808022922
peak_03_06,4-7 days,Q1_low_to_high,booked_earlier_slot,328,8.414103503472314,8.569251700680272,0.03629523071815868
peak_03_06,4-7 days,Q1_low_to_high,booked_inside_window,8191,8.47625069378849,8.542135922330097,0.9063848622330419
peak_03_06,4-7 days,Q1_low_to_high,booked_later_slot,518,8.351625036188834,8.43297124600639,0.05731990704879938
peak_03_06,4-7 days,Q2_low_to_high,booked_earlier_slot,269,11.191162644916954,11.137215189873418,0.03161730136342266
peak_03_06,4-7 days,Q2_low_to_high,booked_inside_window,7792,11.204105649945001,11.16093023255814,0.9158439116125999
peak_03_06,4-7 days,Q2_low_to_high,booked_later_slot,447,11.184943709401102,11.131546391752577,0.052538787023977435
peak_03_06,4-7 days,Q3_low_to_high,booked_earlier_slot,232,14.23232098581057,14.231804093154551,0.028695114409400122
peak_03_06,4-7 days,Q3_low_to_high,booked_inside_window,7419,14.274688126622221,14.326567164179105,0.9176252319109462
peak_03_06,4-7 days,Q3_low_to_high,booked_later_slot,434,14.161167847670278,14.064175824175823,0.05367965367965368
peak_03_06,4-7 days,Q4_low_to_high,booked_earlier_slot,222,18.033504423612655,17.96251787900264,0.025273224043715847
peak_03_06,4-7 days,Q4_low_to_high,booked_inside_window,8121,18.205612444649386,18.196777251184834,0.9245218579234973
peak_03_06,4-7 days,Q4_low_to_high,booked_later_slot,441,18.25728239618638,18.22,0.050204918032786885
peak_03_06,4-7 days,Q5_low_to_high,booked_earlier_slot,170,25.466359992099065,24.18529955867239,0.02493765586034913
peak_03_06,4-7 days,Q5_low_to_high,booked_inside_window,6244,25.07708102823103,23.61489271723133,0.9159454305412938
peak_03_06,4-7 days,Q5_low_to_high,booked_later_slot,403,25.83588573808564,23.997837837837835,0.05911691359835705
peak_03_06,8-10 days,Q1_low_to_high,booked_earlier_slot,371,6.315770077340122,6.517333333333333,0.03355037077229155
peak_03_06,8-10 days,Q1_low_to_high,booked_inside_window,9982,6.405702906771524,6.610247933884298,0.9026948815337312
peak_03_06,8-10 days,Q1_low_to_high,booked_later_slot,705,6.281767979301448,6.574027397260274,0.06375474769397721
peak_03_06,8-10 days,Q2_low_to_high,booked_earlier_slot,342,8.344676528156535,8.105788554109466,0.03362501228984367
peak_03_06,8-10 days,Q2_low_to_high,booked_inside_window,9248,8.31838867438466,8.088539325842696,0.9092517943171763
peak_03_06,8-10 days,Q2_low_to_high,booked_later_slot,581,8.325381391498835,8.168851063829788,0.05712319339298004
peak_03_06,8-10 days,Q3_low_to_high,booked_earlier_slot,347,10.422543048394603,10.490491803278688,0.03181151448478181
peak_03_06,8-10 days,Q3_low_to_high,booked_inside_window,10135,10.355766785439373,10.577190082644627,0.9291345801246791
peak_03_06,8-10 days,Q3_low_to_high,booked_later_slot,426,10.423509157057204,10.490491803278688,0.03905390539053905
peak_03_06,8-10 days,Q4_low_to_high,booked_earlier_slot,329,12.662448225450687,12.730822281167107,0.030164114788667828
peak_03_06,8-10 days,Q4_low_to_high,booked_inside_window,10204,12.689572269945838,12.428429752066116,0.9355459796460989
peak_03_06,8-10 days,Q4_low_to_high,booked_later_slot,374,12.83950715746943,12.744406779661016,0.034289905565233335
peak_03_06,8-10 days,Q5_low_to_high,booked_earlier_slot,311,17.86783568152678,17.001416893732973,0.029952807473755175
peak_03_06,8-10 days,Q5_low_to_high,booked_inside_window,9702,17.857360588256626,17.16067039106145,0.9344120196475008
peak_03_06,8-10 days,Q5_low_to_high,booked_later_slot,370,18.239460121676036,17.329682310469316,0.0356351728787441
peak_03_06,11-14 days,Q1_low_to_high,booked_earlier_slot,126,5.824125356576596,6.0423021582733805,0.041944074567243674
peak_03_06,11-14 days,Q1_low_to_high,booked_inside_window,2673,5.809673028459465,6.036521739130435,0.8898135818908123
peak_03_06,11-14 days,Q1_low_to_high,booked_later_slot,205,5.761439228753114,6.031454219030521,0.06824234354194407
peak_03_06,11-14 days,Q2_low_to_high,booked_earlier_slot,110,7.2300960357755,7.085669291338582,0.036605657237936774
peak_03_06,11-14 days,Q2_low_to_high,booked_inside_window,2711,7.3833167029852875,7.207632508833922,0.9021630615640599
peak_03_06,11-14 days,Q2_low_to_high,booked_later_slot,184,7.37566705119943,7.215304895505295,0.06123128119800333
peak_03_06,11-14 days,Q3_low_to_high,booked_earlier_slot,110,9.029050035999177,9.004978354978356,0.03798342541436464
peak_03_06,11-14 days,Q3_low_to_high,booked_inside_window,2641,9.03592768096248,9.046666666666667,0.9119475138121547
peak_03_06,11-14 days,Q3_low_to_high,booked_later_slot,145,9.028992238837846,9.100838323353292,0.05006906077348066
peak_03_06,11-14 days,Q4_low_to_high,booked_earlier_slot,80,10.654698384492416,10.679204558087825,0.02867383512544803
peak_03_06,11-14 days,Q4_low_to_high,booked_inside_window,2589,10.58486152915819,10.492955465587045,0.9279569892473118
peak_03_06,11-14 days,Q4_low_to_high,booked_later_slot,121,10.598386986004787,10.433788819875776,0.043369175627240145
peak_03_06,11-14 days,Q5_low_to_high,booked_earlier_slot,101,14.909366802631041,14.17228346456693,0.03788447111777944
peak_03_06,11-14 days,Q5_low_to_high,booked_inside_window,2439,14.775899903465692,14.285880217785845,0.9148537134283571
peak_03_06,11-14 days,Q5_low_to_high,booked_later_slot,126,15.443383277336462,14.894247773650928,0.047261815453863466
peak_03_06,15-21 days,Q1_low_to_high,booked_earlier_slot,91,5.243783561784128,5.587647058823529,0.043478260869565216
peak_03_06,15-21 days,Q1_low_to_high,booked_inside_window,1876,5.245956791396492,5.545714285714285,0.8963210702341137
peak_03_06,15-21 days,Q1_low_to_high,booked_later_slot,126,5.216775513118052,5.30461631817955,0.06020066889632107
peak_03_06,15-21 days,Q2_low_to_high,booked_earlier_slot,69,6.438791330294028,6.39936,0.03656597774244833
peak_03_06,15-21 days,Q2_low_to_high,booked_inside_window,1681,6.465820894663154,6.497879656160459,0.8908320084790673
peak_03_06,15-21 days,Q2_low_to_high,booked_later_slot,137,6.4953899483976265,6.522918454935622,0.07260201377848437
peak_03_06,15-21 days,Q3_low_to_high,booked_earlier_slot,79,7.9457904216071205,7.896309012875536,0.04114583333333333
peak_03_06,15-21 days,Q3_low_to_high,booked_inside_window,1735,7.877324362785763,7.872760180995475,0.9036458333333334
peak_03_06,15-21 days,Q3_low_to_high,booked_later_slot,106,7.850119720736714,7.837522199719583,0.05520833333333333
peak_03_06,15-21 days,Q4_low_to_high,booked_earlier_slot,82,9.16619187625832,9.113735357398998,0.04130982367758186
peak_03_06,15-21 days,Q4_low_to_high,booked_inside_window,1792,9.203918360038555,9.255537190082645,0.9027707808564231
peak_03_06,15-21 days,Q4_low_to_high,booked_later_slot,111,9.148937045477886,9.074957983193277,0.05591939546599496
peak_03_06,15-21 days,Q5_low_to_high,booked_earlier_slot,68,12.21689903931668,11.794836811521458,0.03870233352305066
peak_03_06,15-21 days,Q5_low_to_high,booked_inside_window,1589,12.357626066383972,12.063191489361703,0.9043824701195219
peak_03_06,15-21 days,Q5_low_to_high,booked_later_slot,100,12.800465408691357,12.412289595531364,0.056915196357427436
peak_03_06,22+ days,Q1_low_to_high,booked_earlier_slot,22,4.891463773423143,5.00854369359212,0.057291666666666664
peak_03_06,22+ days,Q1_low_to_high,booked_inside_window,339,4.873527883714757,5.003397683397684,0.8828125
peak_03_06,22+ days,Q1_low_to_high,booked_later_slot,23,4.964451106732758,5.084846715328466,0.059895833333333336
peak_03_06,22+ days,Q2_low_to_high,booked_earlier_slot,16,5.6384793580225185,5.628523086443805,0.04199475065616798
peak_03_06,22+ days,Q2_low_to_high,booked_inside_window,331,5.677529227101442,5.6190439024390235,0.868766404199475
peak_03_06,22+ days,Q2_low_to_high,booked_later_slot,34,5.659887415414275,5.637534690384498,0.08923884514435695
peak_03_06,22+ days,Q3_low_to_high,booked_earlier_slot,21,6.418026470311862,6.4797685631629705,0.05384615384615385
peak_03_06,22+ days,Q3_low_to_high,booked_inside_window,336,6.312613436801369,6.291240754881642,0.8615384615384616
peak_03_06,22+ days,Q3_low_to_high,booked_later_slot,33,6.2724451299535335,6.300787644787645,0.08461538461538462
peak_03_06,22+ days,Q4_low_to_high,booked_earlier_slot,17,7.277011221448096,7.227165109034268,0.049707602339181284
peak_03_06,22+ days,Q4_low_to_high,booked_inside_window,304,7.274443943601741,7.239906014385351,0.8888888888888888
peak_03_06,22+ days,Q4_low_to_high,booked_later_slot,21,7.275363806801817,7.268607863974495,0.06140350877192982
peak_03_06,22+ days,Q5_low_to_high,booked_earlier_slot,21,9.207268718712957,9.11719462302747,0.061224489795918366
