actual_window,weekday_num,weekday,slot_relation,bookings,share_within_weekday
peak_03_06,0,Monday,booked_earlier_slot,510,0.029278374189103853
peak_03_06,0,Monday,booked_inside_window,15833,0.9089499971295711
peak_03_06,0,Monday,booked_later_slot,1076,0.06177162868132499
peak_03_06,1,Tuesday,booked_earlier_slot,489,0.031998429524931295
peak_03_06,1,Tuesday,booked_inside_window,13936,0.9119225232299437
peak_03_06,1,Tuesday,booked_later_slot,857,0.05607904724512498
peak_03_06,2,Wednesday,booked_earlier_slot,497,0.030367835757057315
peak_03_06,2,Wednesday,booked_inside_window,14950,0.9134791641207382
peak_03_06,2,Wednesday,booked_later_slot,919,0.05615300012220457
peak_03_06,3,Thursday,booked_earlier_slot,543,0.03013151323455968
peak_03_06,3,Thursday,booked_inside_window,16469,0.9138782531491039
peak_03_06,3,Thursday,booked_later_slot,1009,0.055990233616336496
peak_03_06,4,Friday,booked_earlier_slot,501,0.02839975058103282
peak_03_06,4,Friday,booked_inside_window,16257,0.9215463975965081
peak_03_06,4,Friday,booked_later_slot,883,0.05005385182245904
peak_03_06,5,Saturday,booked_earlier_slot,761,0.03357007366888703
peak_03_06,5,Saturday,booked_inside_window,20770,0.9162292116987957
peak_03_06,5,Saturday,booked_later_slot,1138,0.05020071463231726
peak_03_06,6,Sunday,booked_earlier_slot,697,0.0367887680776945
peak_03_06,6,Sunday,booked_inside_window,17396,0.9181885358386994
peak_03_06,6,Sunday,booked_later_slot,853,0.04502269608360604
peak_10_14,0,Monday,booked_earlier_slot,824,0.05006987907881145
peak_10_14,0,Monday,booked_inside_window,14534,0.8831500273439874
peak_10_14,0,Monday,booked_later_slot,1099,0.06678009357720119
peak_10_14,1,Tuesday,booked_earlier_slot,677,0.046831765356945214
peak_10_14,1,Tuesday,booked_inside_window,13007,0.899764803541782
peak_10_14,1,Tuesday,booked_later_slot,772,0.053403431101272825
peak_10_14,2,Wednesday,booked_earlier_slot,857,0.049044294380222044
peak_10_14,2,Wednesday,booked_inside_window,15902,0.9100377704017397
peak_10_14,2,Wednesday,booked_later_slot,715,0.04091793521803823
peak_10_14,3,Thursday,booked_earlier_slot,748,0.04848956307532737
peak_10_14,3,Thursday,booked_inside_window,13607,0.8820821988849994
peak_10_14,3,Thursday,booked_later_slot,1071,0.06942823803967328
peak_10_14,4,Friday,booked_earlier_slot,738,0.04439097744360902
peak_10_14,4,Friday,booked_inside_window,15179,0.9130225563909774
peak_10_14,4,Friday,booked_later_slot,708,0.04258646616541353
peak_10_14,5,Saturday,booked_earlier_slot,1101,0.0487470114230054
peak_10_14,5,Saturday,booked_inside_window,20479,0.9067121225537944
peak_10_14,5,Saturday,booked_later_slot,1006,0.04454086602320021
peak_10_14,6,Sunday,booked_earlier_slot,664,0.043150506888484534
peak_10_14,6,Sunday,booked_inside_window,14111,0.9170132570834416
peak_10_14,6,Sunday,booked_later_slot,613,0.039836236028073825
