peak,slot_relation,booked_hour,bookings,weight
peak_03_06,booked_earlier_slot,0,221,0.055277638819409704
peak_03_06,booked_earlier_slot,1,256,0.064032016008004
peak_03_06,booked_earlier_slot,2,2817,0.7046023011505753
peak_03_06,booked_earlier_slot,3,68,0.017008504252126064
peak_03_06,booked_earlier_slot,4,127,0.03176588294147074
peak_03_06,booked_earlier_slot,5,104,0.026013006503251626
peak_03_06,booked_earlier_slot,6,22,0.005502751375687844
peak_03_06,booked_earlier_slot,7,8,0.002001000500250125
peak_03_06,booked_earlier_slot,8,12,0.0030015007503751876
peak_03_06,booked_earlier_slot,9,8,0.002001000500250125
peak_03_06,booked_earlier_slot,10,19,0.004752376188094047
peak_03_06,booked_earlier_slot,11,16,0.00400200100050025
peak_03_06,booked_earlier_slot,12,15,0.0037518759379689846
peak_03_06,booked_earlier_slot,13,9,0.0022511255627813906
peak_03_06,booked_earlier_slot,14,25,0.00625312656328164
peak_03_06,booked_earlier_slot,15,31,0.0077538769384692344
peak_03_06,booked_earlier_slot,16,31,0.0077538769384692344
peak_03_06,booked_earlier_slot,17,38,0.009504752376188095
peak_03_06,booked_earlier_slot,18,55,0.01375687843921961
peak_03_06,booked_earlier_slot,19,39,0.00975487743871936
peak_03_06,booked_earlier_slot,20,26,0.0065032516258129065
peak_03_06,booked_earlier_slot,21,17,0.004252126063031516
peak_03_06,booked_earlier_slot,22,12,0.0030015007503751876
peak_03_06,booked_earlier_slot,23,22,0.005502751375687844
peak_03_06,booked_later_slot,2,5,0.0007423904974016332
peak_03_06,booked_later_slot,3,26,0.003860430586488493
peak_03_06,booked_later_slot,4,54,0.008017817371937639
peak_03_06,booked_later_slot,5,40,0.005939123979213066
peak_03_06,booked_later_slot,6,5411,0.8034149962880475
peak_03_06,booked_later_slot,7,393,0.058351893095768374
peak_03_06,booked_later_slot,8,111,0.01648106904231626
peak_03_06,booked_later_slot,9,64,0.009502598366740906
peak_03_06,booked_later_slot,10,36,0.005345211581291759
peak_03_06,booked_later_slot,11,32,0.004751299183370453
peak_03_06,booked_later_slot,12,81,0.012026726057906459
peak_03_06,booked_later_slot,13,21,0.0031180400890868597
peak_03_06,booked_later_slot,14,42,0.0062360801781737195
peak_03_06,booked_later_slot,15,144,0.021380846325167038
peak_03_06,booked_later_slot,16,155,0.02301410541945063
peak_03_06,booked_later_slot,17,54,0.008017817371937639
peak_03_06,booked_later_slot,18,20,0.002969561989606533
peak_03_06,booked_later_slot,19,13,0.0019302152932442465
peak_03_06,booked_later_slot,20,10,0.0014847809948032665
peak_03_06,booked_later_slot,21,9,0.0013363028953229399
peak_03_06,booked_later_slot,22,6,0.0008908685968819599
peak_03_06,booked_later_slot,23,8,0.0011878247958426132
peak_10_14,booked_earlier_slot,0,59,0.010518809056872884
peak_10_14,booked_earlier_slot,1,59,0.010518809056872884
peak_10_14,booked_earlier_slot,2,44,0.007844535567837404
peak_10_14,booked_earlier_slot,3,88,0.015689071135674807
peak_10_14,booked_earlier_slot,4,136,0.02424674630058834
peak_10_14,booked_earlier_slot,5,91,0.016223925833481905
peak_10_14,booked_earlier_slot,6,134,0.023890176502050275
peak_10_14,booked_earlier_slot,7,143,0.025494740595471563
peak_10_14,booked_earlier_slot,8,643,0.11463719022998752
peak_10_14,booked_earlier_slot,9,3994,0.7120698876805135
peak_10_14,booked_earlier_slot,10,44,0.007844535567837404
peak_10_14,booked_earlier_slot,11,37,0.006596541272954181
peak_10_14,booked_earlier_slot,12,45,0.008022820467106437
peak_10_14,booked_earlier_slot,13,32,0.0057051167766090215
peak_10_14,booked_earlier_slot,14,16,0.0028525583883045108
peak_10_14,booked_earlier_slot,15,12,0.002139418791228383
peak_10_14,booked_earlier_slot,16,10,0.0017828489926903191
peak_10_14,booked_earlier_slot,17,4,0.0007131395970761277
peak_10_14,booked_earlier_slot,18,7,0.0012479942948832234
peak_10_14,booked_earlier_slot,19,2,0.00035656979853806385
peak_10_14,booked_earlier_slot,20,3,0.0005348546978070957
peak_10_14,booked_earlier_slot,21,2,0.00035656979853806385
peak_10_14,booked_earlier_slot,22,1,0.00017828489926903192
peak_10_14,booked_earlier_slot,23,3,0.0005348546978070957
peak_10_14,booked_later_slot,0,1,0.00016711229946524063
peak_10_14,booked_later_slot,2,2,0.00033422459893048126
peak_10_14,booked_later_slot,3,1,0.00016711229946524063
peak_10_14,booked_later_slot,4,4,0.0006684491978609625
peak_10_14,booked_later_slot,5,1,0.00016711229946524063
peak_10_14,booked_later_slot,6,1,0.00016711229946524063
peak_10_14,booked_later_slot,7,4,0.0006684491978609625
peak_10_14,booked_later_slot,8,3,0.000501336898395722
peak_10_14,booked_later_slot,9,7,0.0011697860962566844
peak_10_14,booked_later_slot,10,24,0.004010695187165776
peak_10_14,booked_later_slot,11,65,0.010862299465240642
peak_10_14,booked_later_slot,12,77,0.012867647058823529
peak_10_14,booked_later_slot,13,48,0.008021390374331552
peak_10_14,booked_later_slot,14,4766,0.796457219251337
peak_10_14,booked_later_slot,15,653,0.10912433155080214
peak_10_14,booked_later_slot,16,145,0.024231283422459893
peak_10_14,booked_later_slot,17,55,0.009191176470588236
peak_10_14,booked_later_slot,18,40,0.0066844919786096255
peak_10_14,booked_later_slot,19,26,0.004344919786096257
peak_10_14,booked_later_slot,20,14,0.002339572192513369
peak_10_14,booked_later_slot,21,11,0.001838235294117647
peak_10_14,booked_later_slot,22,15,0.0025066844919786097
peak_10_14,booked_later_slot,23,21,0.0035093582887700536
