scenario,date,peak,peak_start_hour,peak_end_hour,peak_cap,baseline_peak_entries,entries_above_cap,lost_rate,lower_price_historical_outside_share,circumvention_multiplier,circumvention_rate,physical_shift_rate,circumvent_book_earlier_arrive_peak,physically_shifted_earlier,lost_fastpark_entries,booking_compliant_peak_entries,expected_physical_peak_entries
CENTRAL,2026-08-27,peak_03_06,3,6,350.0,215.0,0.0,0.4,0.09733731079438736,1.5,0.14600596619158104,0.45399403380841896,0.0,0.0,0.0,215.0,215.0
CENTRAL,2026-08-27,peak_10_14,10,14,350.0,168.0,0.0,0.4,0.10824983612697818,1.5,0.16237475419046726,0.4376252458095327,0.0,0.0,0.0,168.0,168.0
CENTRAL,2026-08-28,peak_03_06,3,6,350.0,190.0,0.0,0.4,0.09733731079438736,1.5,0.14600596619158104,0.45399403380841896,0.0,0.0,0.0,190.0,190.0
CENTRAL,2026-08-28,peak_10_14,10,14,350.0,208.0,0.0,0.4,0.10824983612697818,1.5,0.16237475419046726,0.4376252458095327,0.0,0.0,0.0,208.0,208.0
CENTRAL,2026-08-29,peak_03_06,3,6,350.0,245.0,0.0,0.4,0.09733731079438736,1.5,0.14600596619158104,0.45399403380841896,0.0,0.0,0.0,245.0,245.0
CENTRAL,2026-08-29,peak_10_14,10,14,350.0,247.0,0.0,0.4,0.10824983612697818,1.5,0.16237475419046726,0.4376252458095327,0.0,0.0,0.0,247.0,247.0
CENTRAL,2026-08-30,peak_03_06,3,6,350.0,177.0,0.0,0.4,0.09733731079438736,1.5,0.14600596619158104,0.45399403380841896,0.0,0.0,0.0,177.0,177.0
CENTRAL,2026-08-30,peak_10_14,10,14,350.0,171.0,0.0,0.4,0.10824983612697818,1.5,0.16237475419046726,0.4376252458095327,0.0,0.0,0.0,171.0,171.0
CENTRAL,2026-08-31,peak_03_06,3,6,350.0,199.0,0.0,0.4,0.09733731079438736,1.5,0.14600596619158104,0.45399403380841896,0.0,0.0,0.0,199.0,199.0
CENTRAL,2026-08-31,peak_10_14,10,14,350.0,221.0,0.0,0.4,0.10824983612697818,1.5,0.16237475419046726,0.4376252458095327,0.0,0.0,0.0,221.0,221.0
