date,entry_forecast,exit_forecast,booking_entries,booking_exits,baseline_entries,booking_compliant_entries,adjusted_physical_entries,lost_entries,baseline_exits,lost_exits,adjusted_exits,baseline_movements,adjusted_movements,entry_change,exit_change,movement_change
2026-08-27,604,567,575,561,604,604.0,604.0,0.0,567,0.0,567.0,1171,1171.0,0.0,0.0,0.0
2026-08-28,579,650,526,590,579,579.0,579.0,0.0,650,0.0,650.0,1229,1229.0,0.0,0.0,0.0
2026-08-29,709,763,601,647,709,709.0,709.0,0.0,763,0.0,763.0,1472,1472.0,0.0,0.0,0.0
2026-08-30,495,970,396,778,495,495.0,495.0,0.0,970,0.0,970.0,1465,1465.0,0.0,0.0,0.0
2026-08-31,635,862,483,657,635,635.0,635.0,0.0,862,0.0,862.0,1497,1497.0,0.0,0.0,0.0
2026-09-01,754,750,453,553,754,754.0,754.0,0.0,750,0.0,750.0,1504,1504.0,0.0,0.0,0.0
2026-09-02,933,575,540,420,933,933.0,933.0,0.0,575,0.0,575.0,1508,1508.0,0.0,0.0,0.0
2026-09-03,913,589,517,426,913,913.0,913.0,0.0,589,0.0,589.0,1502,1502.0,0.0,0.0,0.0
2026-09-04,955,650,529,466,955,955.0,955.0,0.0,650,0.0,650.0,1605,1605.0,0.0,0.0,0.0
2026-09-05,1172,741,636,526,1172,1126.8,1126.8,45.200000000000045,741,0.03408803494661564,740.9659119650534,1913,1867.7659119650534,-45.200000000000045,-0.034088034946648804,-45.23408803494658
2026-09-06,873,922,464,649,873,873.0,873.0,0.0,922,0.414554317344236,921.5854456826557,1795,1794.5854456826557,0.0,-0.41455431734425474,-0.41455431734425474
2026-09-07,983,720,512,502,983,983.0,983.0,0.0,720,0.802845350018571,719.1971546499815,1703,1702.1971546499815,0.0,-0.8028453500185151,-0.8028453500185151
2026-09-08,715,665,365,460,715,715.0,715.0,0.0,665,1.5150753056586248,663.4849246943414,1380,1378.4849246943413,0.0,-1.51507530565857,-1.5150753056586836
2026-09-09,933,578,467,396,933,933.0,933.0,0.0,578,3.9825151908576766,574.0174848091423,1511,1507.0174848091424,0.0,-3.9825151908577254,-3.9825151908576117
2026-09-10,973,604,453,451,973,973.0,973.0,0.0,604,4.051652398516044,599.948347601484,1577,1572.9483476014839,0.0,-4.051652398516012,-4.051652398516126
2026-09-11,1096,558,452,460,1096,1074.8,1074.8,21.200000000000045,558,2.5573160065674942,555.4426839934325,1654,1630.2426839934324,-21.200000000000045,-2.5573160065674756,-23.757316006567635
2026-09-12,1219,635,533,505,1219,1161.0,1161.0,58.0,635,7.714526855641882,627.2854731443581,1854,1788.285473144358,-58.0,-7.714526855641907,-65.7145268556419
2026-09-13,1068,815,379,623,1068,1048.4,1048.3999999999999,19.600000000000136,815,12.00453624751457,802.9954637524854,1883,1851.3954637524853,-19.600000000000136,-12.00453624751458,-31.604536247514716
2026-09-14,854,965,414,465,854,854.0,854.0,0.0,965,3.372361968893754,961.6276380311062,1819,1815.6276380311062,0.0,-3.372361968893756,-3.372361968893756
2026-09-15,693,792,373,476,693,693.0,693.0,0.0,792,6.419319798814501,785.5806802011855,1485,1478.5806802011855,0.0,-6.419319798814513,-6.419319798814513
2026-09-16,873,727,437,426,873,873.0,873.0,0.0,727,9.99289429740315,717.0071057025968,1600,1590.0071057025968,0.0,-9.992894297403154,-9.992894297403154
2026-09-17,988,593,384,421,988,987.6,987.6,0.39999999999997726,593,9.28034885324169,583.7196511467583,1581,1571.3196511467584,-0.39999999999997726,-9.280348853241662,-9.68034885324164
2026-09-18,1103,558,404,410,1103,1079.8,1079.8,23.200000000000045,558,8.814094900810689,549.1859050991893,1661,1628.9859050991893,-23.200000000000045,-8.814094900810687,-32.01409490081073
2026-09-19,1239,644,437,444,1239,1175.4,1175.4,63.59999999999991,644,18.155069687804854,625.8449303121952,1883,1801.2449303121953,-63.59999999999991,-18.155069687804826,-81.75506968780473
2026-09-20,1056,809,325,498,1056,1039.6,1039.6,16.40000000000009,809,21.285347749021973,787.714652250978,1865,1827.3146522509778,-16.40000000000009,-21.28534774902198,-37.685347749022185
2026-09-21,836,942,368,413,836,836.0,836.0,0.0,942,9.981544039193226,932.0184559608068,1778,1768.018455960807,0.0,-9.981544039193182,-9.981544039193068
2026-09-22,680,763,278,417,680,680.0,680.0,0.0,763,9.756054157076287,753.2439458429237,1443,1433.2439458429237,0.0,-9.756054157076278,-9.756054157076278
2026-09-23,850,707,349,369,850,850.0,850.0,0.0,707,13.248833236885803,693.7511667631142,1557,1543.7511667631143,0.0,-13.248833236885844,-13.24883323688573
2026-09-24,998,594,298,448,998,996.0,996.0,2.0,594,11.493797367086481,582.5062026329135,1592,1578.5062026329135,-2.0,-11.493797367086472,-13.493797367086472
2026-09-25,1112,557,319,394,1112,1086.3999999999999,1086.3999999999999,25.600000000000136,557,10.549236856469463,546.4507631435306,1669,1632.8507631435305,-25.600000000000136,-10.549236856469406,-36.14923685646954
2026-09-26,1227,627,338,420,1227,1166.6,1166.6,60.40000000000009,627,21.262359654319862,605.7376403456801,1854,1772.33764034568,-60.40000000000009,-21.26235965431988,-81.66235965431997
2026-09-27,1036,795,225,466,1036,1025.6000000000001,1025.6,10.400000000000091,795,23.7736980953928,771.2263019046072,1831,1796.8263019046071,-10.400000000000091,-23.773698095392774,-34.173698095392865
2026-09-28,855,962,284,401,855,855.0,855.0,0.0,962,10.66793400558225,951.3320659944178,1817,1806.332065994418,0.0,-10.667934005582197,-10.667934005582083
2026-09-29,687,776,218,356,687,687.0,687.0,0.0,776,10.684696154259473,765.3153038457406,1463,1452.3153038457406,0.0,-10.684696154259427,-10.684696154259427
2026-09-30,840,721,268,331,840,840.0,840.0,0.0,721,13.58878932068513,707.4112106793149,1561,1547.411210679315,0.0,-13.588789320685123,-13.58878932068501
2026-10-01,747,470,245,320,747,747.0,747.0,0.0,470,11.32493503013054,458.6750649698695,1217,1205.6750649698695,0.0,-11.324935030130518,-11.324935030130518
2026-10-02,851,437,241,291,851,851.0,851.0,0.0,437,10.678173473342207,426.3218265266578,1288,1277.3218265266578,0.0,-10.678173473342213,-10.678173473342213
2026-10-03,993,492,294,286,993,993.0,993.0,0.0,492,21.184852994655447,470.81514700534456,1485,1463.8151470053444,0.0,-21.184852994655444,-21.184852994655557
2026-10-04,856,606,214,340,856,856.0,856.0,0.0,606,21.390117529130226,584.6098824708698,1462,1440.6098824708697,0.0,-21.39011752913018,-21.390117529130293
2026-10-05,700,705,187,247,700,700.0,700.0,0.0,705,7.188435744289018,697.811564255711,1405,1397.811564255711,0.0,-7.188435744288995,-7.188435744289109
2026-10-06,560,560,169,251,560,560.0,560.0,0.0,560,6.0233622021906355,553.9766377978094,1120,1113.9766377978094,0.0,-6.023362202190583,-6.023362202190583
2026-10-07,717,534,260,236,717,717.0,717.0,0.0,534,5.473477625978578,528.5265223740214,1251,1245.5265223740214,0.0,-5.473477625978603,-5.473477625978603
