date,entry_forecast,exit_forecast,booking_entries,booking_exits,baseline_entries,booking_compliant_entries,adjusted_physical_entries,lost_entries,baseline_exits,lost_exits,adjusted_exits,baseline_movements,adjusted_movements,entry_change,exit_change,movement_change
2026-08-27,604,567,575,561,604,604.0,604.0,0.0,567,0.0,567.0,1171,1171.0,0.0,0.0,0.0
2026-08-28,579,650,526,590,579,579.0,579.0,0.0,650,0.0,650.0,1229,1229.0,0.0,0.0,0.0
2026-08-29,709,763,601,647,709,709.0,709.0,0.0,763,0.0,763.0,1472,1472.0,0.0,0.0,0.0
2026-08-30,495,970,396,778,495,495.0,495.0,0.0,970,0.0,970.0,1465,1465.0,0.0,0.0,0.0
2026-08-31,635,862,483,657,635,635.0,635.0,0.0,862,0.0,862.0,1497,1497.0,0.0,0.0,0.0
2026-09-01,754,750,453,553,754,754.0,754.0,0.0,750,0.0,750.0,1504,1504.0,0.0,0.0,0.0
2026-09-02,933,575,540,420,933,933.0,933.0,0.0,575,0.0,575.0,1508,1508.0,0.0,0.0,0.0
2026-09-03,913,589,517,426,913,913.0,913.0,0.0,589,0.0,589.0,1502,1502.0,0.0,0.0,0.0
2026-09-04,955,650,529,466,955,955.0,955.0,0.0,650,0.0,650.0,1605,1605.0,0.0,0.0,0.0
2026-09-05,1172,741,636,526,1172,1104.2,1104.2,67.79999999999995,741,0.051132052419923454,740.9488679475801,1913,1845.1488679475801,-67.79999999999995,-0.05113205241991636,-67.85113205241987
2026-09-06,873,922,464,649,873,873.0,873.0,0.0,922,0.6218314760163539,921.3781685239836,1795,1794.3781685239837,0.0,-0.6218314760163821,-0.6218314760162684
2026-09-07,983,720,512,502,983,983.0,983.0,0.0,720,1.2042680250278566,718.7957319749721,1703,1701.795731974972,0.0,-1.2042680250278863,-1.2042680250278863
2026-09-08,715,665,365,460,715,715.0,715.0,0.0,665,2.272612958487937,662.7273870415121,1380,1377.727387041512,0.0,-2.272612958487912,-2.2726129584880255
2026-09-09,933,578,467,396,933,933.0,933.0,0.0,578,5.973772786286514,572.0262272137135,1511,1505.0262272137134,0.0,-5.973772786286531,-5.973772786286645
2026-09-10,973,604,453,451,973,973.0,973.0,0.0,604,6.077478597774065,597.9225214022259,1577,1570.9225214022258,0.0,-6.077478597774075,-6.0774785977741885
2026-09-11,1096,558,452,460,1096,1064.2,1064.2,31.799999999999955,558,3.835974009851241,554.1640259901487,1654,1618.3640259901488,-31.799999999999955,-3.8359740098512702,-35.635974009851225
2026-09-12,1219,635,533,505,1219,1132.0,1132.0,87.0,635,11.571790283462823,623.4282097165371,1854,1755.4282097165371,-87.0,-11.57179028346286,-98.57179028346286
2026-09-13,1068,815,379,623,1068,1038.6,1038.6,29.40000000000009,815,18.006804371271855,796.9931956287281,1883,1835.5931956287282,-29.40000000000009,-18.00680437127187,-47.406804371271846
2026-09-14,854,965,414,465,854,854.0,854.0,0.0,965,5.05854295334063,959.9414570466594,1819,1813.9414570466593,0.0,-5.058542953340634,-5.058542953340748
2026-09-15,693,792,373,476,693,693.0,693.0,0.0,792,9.628979698221753,782.3710203017782,1485,1475.3710203017781,0.0,-9.62897969822177,-9.628979698221883
2026-09-16,873,727,437,426,873,873.0,873.0,0.0,727,14.989341446104724,712.0106585538953,1600,1585.0106585538952,0.0,-14.989341446104731,-14.989341446104845
2026-09-17,988,593,384,421,988,987.4,987.4,0.6000000000000227,593,13.920523279862536,579.0794767201374,1581,1566.4794767201374,-0.6000000000000227,-13.92052327986255,-14.520523279862573
2026-09-18,1103,558,404,410,1103,1068.2,1068.2,34.799999999999955,558,13.22114235121603,544.778857648784,1661,1612.978857648784,-34.799999999999955,-13.22114235121603,-48.021142351215985
2026-09-19,1239,644,437,444,1239,1143.6,1143.6,95.40000000000009,644,27.23260453170728,616.7673954682928,1883,1760.3673954682927,-95.40000000000009,-27.23260453170724,-122.63260453170733
2026-09-20,1056,809,325,498,1056,1031.4,1031.4,24.59999999999991,809,31.928021623532956,777.0719783764671,1865,1808.4719783764672,-24.59999999999991,-31.928021623532914,-56.52802162353282
2026-09-21,836,942,368,413,836,836.0,836.0,0.0,942,14.972316058789838,927.0276839412102,1778,1763.0276839412102,0.0,-14.97231605878983,-14.97231605878983
2026-09-22,680,763,278,417,680,680.0,680.0,0.0,763,14.634081235614431,748.3659187643856,1443,1428.3659187643857,0.0,-14.634081235614417,-14.634081235614303
2026-09-23,850,707,349,369,850,850.0,850.0,0.0,707,19.8732498553287,687.1267501446713,1557,1537.1267501446714,0.0,-19.87324985532871,-19.873249855328595
2026-09-24,998,594,298,448,998,995.0,995.0,3.0,594,17.24069605062972,576.7593039493703,1592,1571.7593039493704,-3.0,-17.24069605062971,-20.240696050629595
2026-09-25,1112,557,319,394,1112,1073.6,1073.6,38.40000000000009,557,15.823855284704193,541.1761447152958,1669,1614.7761447152957,-38.40000000000009,-15.823855284704223,-54.223855284704314
2026-09-26,1227,627,338,420,1227,1136.4,1136.4,90.59999999999991,627,31.893539481479788,595.1064605185202,1854,1731.5064605185203,-90.59999999999991,-31.89353948147982,-122.49353948147973
2026-09-27,1036,795,225,466,1036,1020.4000000000001,1020.4,15.600000000000023,795,35.66054714308919,759.3394528569108,1831,1779.7394528569107,-15.600000000000023,-35.66054714308916,-51.2605471430893
2026-09-28,855,962,284,401,855,855.0,855.0,0.0,962,16.001901008373373,945.9980989916266,1817,1800.9980989916266,0.0,-16.001901008373352,-16.001901008373352
2026-09-29,687,776,218,356,687,687.0,687.0,0.0,776,16.02704423138921,759.9729557686107,1463,1446.9729557686107,0.0,-16.027044231389254,-16.027044231389254
2026-09-30,840,721,268,331,840,840.0,840.0,0.0,721,20.383183981027692,700.6168160189723,1561,1540.6168160189723,0.0,-20.38318398102774,-20.38318398102774
2026-10-01,747,470,245,320,747,747.0,747.0,0.0,470,16.98740254519581,453.01259745480417,1217,1200.012597454804,0.0,-16.987402545195835,-16.98740254519589
2026-10-02,851,437,241,291,851,851.0,851.0,0.0,437,16.01726021001331,420.9827397899867,1288,1271.9827397899867,0.0,-16.01726021001332,-16.01726021001332
2026-10-03,993,492,294,286,993,993.0,993.0,0.0,492,31.777279491983165,460.22272050801683,1485,1453.222720508017,0.0,-31.777279491983165,-31.77727949198311
2026-10-04,856,606,214,340,856,856.0,856.0,0.0,606,32.08517629369533,573.9148237063047,1462,1429.9148237063046,0.0,-32.085176293695326,-32.08517629369544
2026-10-05,700,705,187,247,700,700.0,700.0,0.0,705,10.782653616433526,694.2173463835665,1405,1394.2173463835666,0.0,-10.78265361643355,-10.782653616433436
2026-10-06,560,560,169,251,560,560.0,560.0,0.0,560,9.035043303285953,550.964956696714,1120,1110.9649566967141,0.0,-9.035043303285988,-9.035043303285875
2026-10-07,717,534,260,236,717,717.0,717.0,0.0,534,8.210216438967867,525.7897835610321,1251,1242.789783561032,0.0,-8.210216438967905,-8.210216438968018
