date,entry_forecast,exit_forecast,booking_entries,booking_exits,baseline_entries,booking_compliant_entries,adjusted_physical_entries,lost_entries,baseline_exits,lost_exits,adjusted_exits,baseline_movements,adjusted_movements,entry_change,exit_change,movement_change
2026-08-27,604,567,575,561,604,604.0,604.0,0.0,567,0.0,567.0,1171,1171.0,0.0,0.0,0.0
2026-08-28,579,650,526,590,579,579.0,579.0,0.0,650,0.0,650.0,1229,1229.0,0.0,0.0,0.0
2026-08-29,709,763,601,647,709,709.0,709.0,0.0,763,0.0,763.0,1472,1472.0,0.0,0.0,0.0
2026-08-30,495,970,396,778,495,495.0,495.0,0.0,970,0.0,970.0,1465,1465.0,0.0,0.0,0.0
2026-08-31,635,862,483,657,635,635.0,635.0,0.0,862,0.0,862.0,1497,1497.0,0.0,0.0,0.0
2026-09-01,754,750,453,553,754,754.0,754.0,0.0,750,0.0,750.0,1504,1504.0,0.0,0.0,0.0
2026-09-02,933,575,540,420,933,933.0,933.0,0.0,575,0.0,575.0,1508,1508.0,0.0,0.0,0.0
2026-09-03,913,589,517,426,913,913.0,913.0,0.0,589,0.0,589.0,1502,1502.0,0.0,0.0,0.0
2026-09-04,955,650,529,466,955,955.0,955.0,0.0,650,0.0,650.0,1605,1605.0,0.0,0.0,0.0
2026-09-05,1172,741,636,526,1172,1149.4,1149.4,22.59999999999991,741,0.01704401747330782,740.9829559825267,1913,1890.3829559825267,-22.59999999999991,-0.01704401747326756,-22.61704401747329
2026-09-06,873,922,464,649,873,873.0,873.0,0.0,922,0.207277158672118,921.7927228413279,1795,1794.7927228413278,0.0,-0.20727715867212737,-0.20727715867224106
2026-09-07,983,720,512,502,983,983.0,983.0,0.0,720,0.4014226750092855,719.5985773249907,1703,1702.5985773249909,0.0,-0.40142267500925755,-0.40142267500914386
2026-09-08,715,665,365,460,715,715.0,715.0,0.0,665,0.7575376528293124,664.2424623471707,1380,1379.2424623471707,0.0,-0.7575376528293418,-0.7575376528293418
2026-09-09,933,578,467,396,933,933.0,933.0,0.0,578,1.9912575954288383,576.0087424045712,1511,1509.0087424045712,0.0,-1.9912575954288059,-1.9912575954288059
2026-09-10,973,604,453,451,973,973.0,973.0,0.0,604,2.025826199258022,601.9741738007419,1577,1574.974173800742,0.0,-2.025826199258063,-2.025826199258063
2026-09-11,1096,558,452,460,1096,1085.4,1085.4,10.599999999999909,558,1.2786580032837471,556.7213419967162,1654,1642.1213419967162,-10.599999999999909,-1.2786580032837946,-11.878658003283817
2026-09-12,1219,635,533,505,1219,1190.0,1190.0,29.0,635,3.857263427820941,631.142736572179,1854,1821.142736572179,-29.0,-3.8572634278209534,-32.85726342782095
2026-09-13,1068,815,379,623,1068,1058.2,1058.2,9.799999999999955,815,6.002268123757285,808.9977318762427,1883,1867.1977318762429,-9.799999999999955,-6.00226812375729,-15.80226812375713
2026-09-14,854,965,414,465,854,854.0,854.0,0.0,965,1.686180984446877,963.3138190155531,1819,1817.3138190155532,0.0,-1.686180984446878,-1.6861809844467643
2026-09-15,693,792,373,476,693,693.0,693.0,0.0,792,3.2096598994072507,788.7903401005927,1485,1481.7903401005929,0.0,-3.2096598994072565,-3.209659899407143
2026-09-16,873,727,437,426,873,873.0,873.0,0.0,727,4.996447148701575,722.0035528512984,1600,1595.0035528512985,0.0,-4.996447148701577,-4.9964471487014634
2026-09-17,988,593,384,421,988,987.8000000000001,987.8000000000001,0.1999999999999318,593,4.640174426620845,588.3598255733791,1581,1576.1598255733793,-0.1999999999999318,-4.640174426620888,-4.840174426620706
2026-09-18,1103,558,404,410,1103,1091.4,1091.4,11.599999999999909,558,4.4070474504053445,553.5929525495947,1661,1644.9929525495947,-11.599999999999909,-4.407047450405344,-16.007047450405253
2026-09-19,1239,644,437,444,1239,1207.2,1207.2,31.799999999999955,644,9.077534843902427,634.9224651560976,1883,1842.1224651560976,-31.799999999999955,-9.077534843902413,-40.87753484390237
2026-09-20,1056,809,325,498,1056,1047.8,1047.8,8.200000000000045,809,10.642673874510987,798.3573261254891,1865,1846.157326125489,-8.200000000000045,-10.642673874510933,-18.842673874511092
2026-09-21,836,942,368,413,836,836.0,836.0,0.0,942,4.990772019596613,937.0092279804034,1778,1773.0092279804035,0.0,-4.990772019596648,-4.990772019596534
2026-09-22,680,763,278,417,680,680.0,680.0,0.0,763,4.878027078538143,758.1219729214619,1443,1438.1219729214617,0.0,-4.878027078538139,-4.878027078538253
2026-09-23,850,707,349,369,850,850.0,850.0,0.0,707,6.624416618442901,700.3755833815571,1557,1550.3755833815571,0.0,-6.624416618442865,-6.624416618442865
2026-09-24,998,594,298,448,998,997.0,997.0,1.0,594,5.7468986835432405,588.2531013164568,1592,1585.2531013164567,-1.0,-5.746898683543236,-6.74689868354335
2026-09-25,1112,557,319,394,1112,1099.2,1099.2,12.799999999999955,557,5.2746184282347315,551.7253815717653,1669,1650.9253815717652,-12.799999999999955,-5.274618428234703,-18.07461842823477
2026-09-26,1227,627,338,420,1227,1196.8,1196.8,30.200000000000045,627,10.631179827159931,616.3688201728401,1854,1813.16882017284,-30.200000000000045,-10.63117982715994,-40.831179827159986
2026-09-27,1036,795,225,466,1036,1030.8,1030.8,5.2000000000000455,795,11.8868490476964,783.1131509523036,1831,1813.9131509523036,-5.2000000000000455,-11.886849047696387,-17.086849047696433
2026-09-28,855,962,284,401,855,855.0,855.0,0.0,962,5.333967002791125,956.6660329972088,1817,1811.6660329972087,0.0,-5.333967002791155,-5.333967002791269
2026-09-29,687,776,218,356,687,687.0,687.0,0.0,776,5.342348077129737,770.6576519228703,1463,1457.6576519228702,0.0,-5.342348077129714,-5.342348077129827
2026-09-30,840,721,268,331,840,840.0,840.0,0.0,721,6.794394660342565,714.2056053396574,1561,1554.2056053396573,0.0,-6.794394660342618,-6.794394660342732
2026-10-01,747,470,245,320,747,747.0,747.0,0.0,470,5.66246751506527,464.33753248493474,1217,1211.3375324849349,0.0,-5.662467515065259,-5.662467515065146
2026-10-02,851,437,241,291,851,851.0,851.0,0.0,437,5.339086736671104,431.6609132633289,1288,1282.660913263329,0.0,-5.339086736671106,-5.339086736671106
2026-10-03,993,492,294,286,993,993.0,993.0,0.0,492,10.592426497327724,481.4075735026723,1485,1474.4075735026722,0.0,-10.592426497327722,-10.592426497327779
2026-10-04,856,606,214,340,856,856.0,856.0,0.0,606,10.695058764565113,595.3049412354349,1462,1451.3049412354349,0.0,-10.695058764565147,-10.695058764565147
2026-10-05,700,705,187,247,700,700.0,700.0,0.0,705,3.594217872144509,701.4057821278554,1405,1401.4057821278554,0.0,-3.5942178721445543,-3.5942178721445543
2026-10-06,560,560,169,251,560,560.0,560.0,0.0,560,3.0116811010953177,556.9883188989047,1120,1116.9883188989047,0.0,-3.0116811010952915,-3.0116811010952915
2026-10-07,717,534,260,236,717,717.0,717.0,0.0,534,2.736738812989289,531.2632611870107,1251,1248.2632611870108,0.0,-2.7367388129893016,-2.736738812989188
