from_clean,to_clean,avg_travel_time_minutes,median_travel_time_minutes,movement_count
Arrivals,Block A,6.91,7.0,383
Arrivals,Block AA,6.06,6.0,385
Arrivals,Block B,6.95,7.0,510
Arrivals,Block BB,6.29,6.0,360
Arrivals,Block C,7.18,7.0,460
Arrivals,Block CC,6.7,6.0,246
Arrivals,Block D,7.27,7.0,453
Arrivals,Block DD,7.0,6.0,43
Arrivals,Block E,7.4,7.0,418
Arrivals,Block EE,5.92,6.0,194
Arrivals,Block F,7.59,7.0,452
Arrivals,Block FF,6.02,6.0,661
Arrivals,Block G,7.36,7.0,494
Arrivals,Block GG,6.32,6.0,281
Arrivals,Block H,7.57,7.0,409
Arrivals,Block HH,7.94,7.0,201
Arrivals,Block J,7.74,7.0,961
Arrivals,Block K,8.02,8.0,963
Arrivals,Block M,8.06,8.0,1094
Arrivals,Block P,8.1,8.0,802
Arrivals,Block Q,8.15,8.0,117
Arrivals,Block R,11.6,10.0,30
Arrivals,Block S,8.89,8.0,141
Arrivals,Block T,8.81,8.0,105
Arrivals,Block U,8.9,9.0,124
Arrivals,Block Y,7.43,7.0,573
Arrivals,Forecourt EVS,6.51,7.0,37
Arrivals,Green,8.46,8.0,364
Arrivals,Red,9.16,9.0,334
Arrivals,Returns A,2.75,2.0,12
Arrivals,Returns AA,4.72,4.0,18
Arrivals,Returns B,4.28,3.0,47
Arrivals,Returns C,3.04,3.0,26
Arrivals,Returns D,3.57,3.0,23
Arrivals,Returns E,3.02,3.0,122
Arrivals,Returns EV,3.86,4.0,7
Arrivals,Returns F,2.78,3.0,108
Arrivals,Temp Lane,4.0,4.0,23
Arrivals,Unallocated,9.51,9.0,89
Arrivals,Yellow,8.0,8.0,325
Block A,Block AA,7.5,5.0,6
Block A,Block B,4.0,3.0,4
Block A,Block BB,3.0,3.0,1
Block A,Block C,1.0,1.0,1
Block A,Block CC,1.0,1.0,1
Block A,Block D,4.0,4.0,1
Block A,Block E,4.0,4.0,1
Block A,Block EE,2.33,3.0,3
Block A,Block F,2.0,1.5,4
Block A,Block FF,6.0,6.0,2
Block A,Block GG,4.0,3.0,4
Block A,Block J,3.0,2.5,8
Block A,Block K,4.0,4.0,2
Block A,Block M,3.0,3.0,3
Block A,Block Y,8.0,8.0,1
Block A,Returns A,6.93,7.0,73
Block A,Returns AA,7.48,7.0,48
Block A,Returns B,6.97,7.0,73
Block A,Returns C,7.07,7.0,57
Block A,Returns D,7.64,7.0,45
Block A,Returns E,6.89,7.0,27
Block A,Returns F,8.37,8.0,30
Block A,Temp Lane,7.29,7.0,24
Block A,Unallocated,5.5,5.5,2
Block AA,Block B,2.0,2.0,2
Block AA,Block C,3.0,3.0,1
Block AA,Block CC,2.0,2.0,1
Block AA,Block E,4.5,4.5,4
Block AA,Block G,2.0,2.0,1
Block AA,Block J,3.0,3.0,1
Block AA,Block K,4.0,4.0,3
Block AA,Plane Parking EV Bay,5.5,5.5,2
Block AA,Returns A,6.29,6.0,65
Block AA,Returns AA,7.0,6.5,40
Block AA,Returns B,7.21,6.0,99
Block AA,Returns C,6.97,7.0,61
Block AA,Returns D,6.75,6.0,56
Block AA,Returns E,6.58,7.0,43
Block AA,Returns EV,9.0,10.0,7
Block AA,Returns F,8.2,7.0,30
Block AA,Temp Lane,6.38,6.0,26
Block B,Block A,2.0,2.0,2
Block B,Block BB,2.5,3.0,6
Block B,Block C,5.0,5.0,2
Block B,Block CC,4.5,4.5,2
Block B,Block D,4.0,4.0,1
Block B,Block E,2.0,2.0,1
Block B,Block F,3.0,3.0,1
Block B,Block FF,4.0,3.0,4
Block B,Block G,2.0,2.0,1
Block B,Block GG,2.5,2.5,2
Block B,Block J,2.75,2.5,4
Block B,Block K,2.5,3.0,4
Block B,Block M,3.67,3.0,3
Block B,Block Y,5.0,5.0,4
Block B,Green,3.0,3.0,1
Block B,Returns A,7.99,7.0,92
Block B,Returns AA,8.07,8.0,30
Block B,Returns B,7.53,7.0,93
Block B,Returns C,7.49,7.0,80
Block B,Returns D,7.88,7.0,69
Block B,Returns E,8.21,7.0,53
Block B,Returns F,8.07,8.0,41
Block B,Temp Lane,8.06,7.5,16
Block B,Unallocated,3.0,3.0,1
Block BB,Block A,4.0,4.0,1
Block BB,Block E,8.0,8.0,1
Block BB,Block T,6.0,6.0,1
Block BB,Returns A,6.9,6.0,72
Block BB,Returns AA,7.12,6.0,26
Block BB,Returns B,7.28,7.0,81
Block BB,Returns C,6.41,6.0,66
Block BB,Returns D,6.59,6.0,70
Block BB,Returns E,6.29,6.5,34
